id,song_title,artists,year
432751,memory shell ( lost radio e-dit),aes dana,2004
919455,chegámos à party,mundo secreto,0
701335,raincheck,mark broom,2009
180188,bad things dub (version 2),keith hudson,0
641686,i hear you knocking,gale storm,1995
209299,why don't you come home blues,furry lewis,1969
39587,i don't regret a mile,the perrys,0
285168,soy senador!!!,cholomandinga,0
141210,j.r.d.a,balla et ses balladins,0
904103,hot garonne pt.2 (feat. jm brolik_ dhjaz_ karma_ dosa_ kata_ df_ radam_ n jeazy),booty love gang,0
302636,fly like an eagle,neville brothers,1992
828252,out of africa,capital letters,1979
612457,non compos mentis,left,2001
302491,i'm the one,duster bennett,0
240938,i'm in love,bachman-turner overdrive,1978
440390,general strike,disaster strikes,0
256474,oxygen,feeder,2001
792764,aurora,alex neri & federico locchi,2005
718305,the last goodbye,the lost patrol,0
830984,look into the soul,born blind,0
302859,the road to ridiculous bohemia,tiny tin lady,2008
774242,fecund,adultnapper,2006
747807,secret love,art blakey and the jazz messengers,0
696588,love in the morning,leroy sibbles,0
410170,sacred ground,craig chaquico,1993
93589,girl gone bad (album version),van halen,1983
450080,raga malkauns,india feat. vijav raghau rao,0
283550,her love rubbed off,carl perkins,0
36173,africa anteria,univeria zekt,1971
42339,attic room,casiotone for the painfully alone,2003
454908,si sos brujo,osvaldo pugliese,2002
623628,there's someway out,daz dillinger & kurupt young gotti,0
941577,sweetcow,chicken lips,0
958721,sweet talkin' woman,electric light orchestra,1977
98531,wedding bells blues,laura nyro,1971
613286,through the pale door,zadera,2004
589276,solo fue un sueño,sangre azul,0
194644,go your way,anne briggs,1971
728709,today (1997 digital remaster),talk talk,1982
932628,everybody calls me joe,joe brown / the bruvvers,0
621153,buffalo stampede [featuring m. shadows of avenged sevenfold] (album version),cowboy troy,2007
550400,dear mr gable : you made me love you,judy garland,0
519415,exx-pansion,steve baltes,1995
265960,the more the better,bastian salbart,0
617314,bring a torch_ jeanette_ isabella,downhere,0
64010,god is standing by,walter hawkins,0
87318,bohle ba lahlehileng,exodus,0
938709,redeemed (album version),the winans,1985
804736,kecy 2,daniel landa;lucie vondrackova,2007
798910,metrosexual ride,rhythm king and her friends,0
467545,well hall,the baltimore consort,0
469025,nena (the rota 1997),ariel rot,0
232976,brokeback mountain theme - the wings,gustavo santaolalla / manny lehman / tony moran / warren rigg,2006
172660,winter sun,out of the grey,1997
518805,merkst du's nich?! feat. mok_ alpa gun_ sido_ bendt_ fuhrman_ tony d_ b-tight,die sekte,0
690795,let it go,boney james,2006
698753,deposit pirates,tankard,2008
158705,break on through [to the other side] (live in detroit) (2006 remastered lp version),the doors,0
45785,pueblo,goldfish und der dulz,0
870112,antonio,pablo milanés / chucho valdes,0
880169,la jument de michot,oztara,0
351700,it's gonna rain,violent femmes,1984
235044,le train bleu,rabih abou-khalil,2007
839861,this is where the chocolate cheesecake would be if we had any whammy!,daggermouth,0
67433,different,ms. jade,2002
930677,pokrusa,lili ivanova,0
310401,find a way to believe (95 north dub mix),95 north,0
380613,if this is love,the foreign exchange_ featuring yahzarah,2008
922075,spill denne sang,hans petter hansen,0
708359,mozart: la betulia liberata: pieta_ se irato sei,wolfgang amadeus mozart,0
69578,natty bo dead (sammy no dead),ska cubano,0
480092,captain coulls parrot,peatbog faeries,2000
167361,alamtini,rhany,0
281267,in a monastery garden,reginald dixon,0
261715,no sadness,d-unity,0
834878,casta diva,cecilia bartoli / international chamber soloists / orchestra la scintilla / adam fischer,0
45734,brevil brevil,macc lads,0
573632,charisma,kiss,0
32989,home,alisa fineman,0
764358,wir können auch anders (jellybean),dole & kom,0
210112,highway song,blackfoot,0
592374,again & again,roots manuva,2008
291494,starting line,the methadones,2007
817796,teaser,cirez d,2005
883836,gloria in excelsis,vince guaraldi / st. paul's church of san rafael,1965
62743,watch her walk away,the dials,2009
36326,mac wiseman on the history of bluegrass,mac wiseman (with special guests lester flatt & chubby wise),0
247481,drop it like it's hot (remix),barbara carr,0
691382,epic song,paul winter,0
267215,love in action (lp version),utopia,0
51944,children of the korn (featuring ice cube),korn featuring ice cube,1998
67472,tra tra mix,daddy yankee,0
575649,talking 'bout my baby,blues lee,0
751515,joy,juliet turner,2008
363128,leech/no shore,wasted time,0
586881,can you blame the sky?,alela diane,2007
959506,with a song in my heart,greg houben,0
867240,please help me,lonnie johnson,0
737021,make you mine,question mark & the mysterians,0
106242,a love supreme,the twilight singers,2004
81086,hoodtreason,nyoil,0
433623,mal,sapo,2003
410112,don't even know her name,ryan adams,2004
150042,noob ending,tim exile,2006
383088,you can't rush spring,karrin allyson,1997
652934,i am mine,pearl jam,2002
1083,twins,coconut coolouts,0
120563,cotton eyed joe,terry callier,1968
960583,frankenstein,marcus miller,2005
175326,three long days,deanna bogart,0
497935,keep on rockin' (lp version),confederate railroad,1998
618609,i wanna go home,holly & the italians,1981
666192,remember to breathe,curtis,0
82214,kool,28 days,1998
536770,angus is the camera,cutting pink with knives,0
479493,phat beat,calvertron,0
37747,eu e a brisa (2000 digital remaster),maysa,0
7873,you eclipsed by me (album version),atreyu,2004
444424,santa claus is coming to town,smokey robinson & the miracles,1999
599235,stalker,shackleton,2004
620394,golden (austin leeds remix) (austin leeds remix),second sun,0
129874,that was a lucky one,lawrence english,2005
29873,tryin' & cryin',george duke,0
785828,gary's narrator (lp version),aloha,0
876829,deja-vu dreams,ephen rian,2005
329413,red paint,neneh cherry,1992
803065,s-corner dub,impact allstars,0
775280,piss'en ass,laughin'nose,0
775670,do your thing,basement jaxx,2001
782574,rosemarie,hubert kah,1982
819160,guddian patole,naseebo lal,0
507209,ispjenzola - produced by la boutique fantastique,amsterdam klezmer band,0
425216,a house is not a home,carl doy,0
604108,josephine,the wallflowers,1996
651854,negation's blade,svartthron,2008
849022,i thought of you again,the wave pictures,2009
486965,(another one of my) big ideas,cutting crew,0
593165,aint got nothin,oasis,0
371703,when people are shameless,salt the wound,2009
9540,wach auf,killerpilze,2006
145532,chemical strangle,downset,2000
856477,umm umm umm,dj phiene,0
199861,real vilains (feat.guttamouf_lord digga_majik most,celph titled,0
390584,friends,indoor,0
412538,she's always in my hair [12' version],prince & the revolution,0
6878,pandora's calling (persephone remix),whispers in the shadow,0
537081,once upon a time (original mix),moss & szade feat. audrey valorzi,0
889244,east atlanta illuminations,daniel hutchens,0
361941,desolación,desastre capital,0
537256,por que ((clean)),the odd couple,0
275937,tschabo,marianne rosenberg,0
508032,dead cities (bulika mix),ah cama-sotz,2007
239336,color him folky,howard roberts,0
885242,i agree,the oh sees,0
713851,a farewell from on high,scott h. biram,2000
634206,no te separes de mi,sergio dalma,0
161543,let me be the one,marilyn scott,1996
322898,shes a hum dum dinger(from dingersville) pt 2,jimmie davis,0
679231,god don't never change,blind willie johnson,1989
654814,miss tic nôze rmx,ark,0
878844,fool and bladder,vivian stanshall,1978
715798,yeah,moby,1992
523580,late summre,dwayne sodahberk,2006
26032,me siento bien,hombres g,2007
14315,he dreams of spaceships,lorna,0
734986,organism (lights of euphoria mix),regenerator,2003
16188,le capitaine et le matelot,laurent voulzy,2001
192585,she's so bad (live),the poppees,0
268016,colors that lasted for hours,sixsense,0
817315,our destiny,project pitchfork,1998
290246,chances of love,joe d'urso & stone caravan,0
689667,heart of the land,michael londra,0
816529,towards the sun,future funk squad,2006
338788,whatever happened,dick gaughan,2006
67765,feel this way,arrogance,0
473769,se quedo,siempre asi,0
270579,last night,mavado,2007
28977,i wanna grow old with you,lazard feat. muzzy g.,0
766991,to dust,arts & decay,1992
643392,ntoman,africando all stars,2000
632735,white_ discussion,live,1994
848934,bastó un segundo,jhonny rivera,0
807109,overnite religion,kurt vile,2009
606388,here,clara hill,2003
496705,politicians,explainer,0
752529,spaz's house destruction party,anti-flag,2001
816352,seeds of the ancient gods,old man's child,1999
527492,el desarreglo,los sabrosos del merengue,0
266332,if i'm choking_ make a scene (live),the scare,2007
597681,ixesha,jika,0
79362,sweet lady,freddie mcgregor,1988
538715,nature child,nicolai dunger,0
185728,día común- doble vida,soda stereo,0
613039,incredible,anthony evans,0
937715,commemoration i,derniere volonte,0
27086,transcontinental,pedro the lion,2004
38297,the twelves,kokomo arnold,0
191110,ulu: 78,need new body,2001
842966,high school nostalgia,stavely makepeace,0
139819,evil times,the unkool hillbillies,0
406589,waking up blin (live),evergrey,0
97215,someday we'll all be free (album version),take 6 (featuring lalah hathaway),0
544416,il pleurait,maurice chevalier,0
887063,la radio vieja,marquess,2008
573094,live by the mic,street reportas,0
533500,golden egg,ramin djawadi,2008
111675,what's new,david 'fathead' newman,0
309270,pass me down the wine,oasis,0
720,101,albert hammond jr.,2006
777473,snag it,fletcher henderson & the dixie stompers,0
191586,i regret (radio edit),de/vision,1996
56569,not about wings (uncut demo),downhere,0
783797,the politics of dancing (extended version),re-flex,2009
470206,estranged,guns n' roses,1991
953551,flight into egypt,alfred newman,0
931407,fire exit (lp version),mitch hedberg,1999
96814,summer vibe,erik hakansson,0
439996,trouves en un autre,encre,2001
833419,i need you,the dells,0
113577,gimme some skin,absolute,0
506746,it's electric,metallica,1998
895648,have you seen the stars tonite? (2006 remastered lp version),paul kantner/jefferson starship,0
447854,so pretty,b5,2005
675560,memorable moments,the tyde,2003
662000,pas dire non,nico wayne toussaint,2009
527364,condemn me society (katadikase me koinonia),stelios kazantzides,0
748243,supply and demand,the hives,2000
892925,cha! (extended mix),booka shade,2005
336904,letter to bread,scud mountain boys,1995
569412,my confession,otep,2002
860157,karoun karoun,mirage,0
448417,con de aranjuez: adagio,discover the classics,0
928375,shh shh shh,tyson,0
742451,the hanging gardens,fiction factory,0
436981,jackson,nancy sinatra and lee hazlewood,0
416064,estás vencida,tito rodriguez,0
866857,cowboy beat,bellamy brothers,0
273833,heaven knows,x-wife,2008
871126,left alone among the living,spearmint,2003
818508,i want to be near you,johnny desmond,0
31065,bonus track,frolic,0
342767,quantum leapfrog,proto-kaw,2004
86461,just goofed,the teen queens,0
278992,delirium tremens,delirium tremens,0
401948,enigma,time passing,0
619611,let the music play,shannon,0
239642,t.n.t. (holyhiphop),dynamite x,0
757682,lian ai tian chi,kary ng,2006
403099,jack rabbit,seismic anamoly,2003
143720,selaed in amber,paul woolford,0
588394,symmetry,god module,2000
296445,vampires from outer space,the independents,2003
781079,tears (classic vocal),frankie knuckles presents satoshi tomiie,0
128417,feeling good,john morgan band,0
356383,hang on sloopy,the mccoys,1965
926187,the thick and the thin,raccoon / the teeth,0
132827,fable,robert miles,1996
801111,ima come down,woss ness,0
660828,river of tears (live),eric clapton,0
181248,das orchester spielt einen walzer,tomte,2008
287593,soul digits,terry lee brown junior,2008
65151,a pagan gift (album version),figures on a beach,0
922457,eres casado (youre a married man),nati cano's mariachi los camperos,0
543012,silence outside,air formation,0
236468,sturmschwingen,adversus,2003
244197,fakenham fair,bellowhead,2008
173889,dance (maxx da bass radio edit),bulldozzer,0
42257,wake up call (album version),hawthorne heights,2004
823591,flash in the night,secret service,1982
119340,walk with me (mono),the seekers,0
283164,desir (turbo mix),system 7,1996
318916,carmilla (schizodisko funkytronic lacquer version),alex gopher,0
123925,tuna puna trinidad,petula clark,0
102134,whatever turns you on,aberfeldy,2006
241386,autumn leaves,vince guaraldi trio,1957
625879,you bad (mikix the cat remix),rob threezy,0
469979,townhouse stereo,spymob,0
337648,staying out for the summer (summer '95),dodgy,1995
699775,11,lunachicks,1992
467889,angels (deadly weapons remix),morandi,0
675629,kill my radio station,underground resistance,2007
663533,oul tani eyh,nancy ajram,0
582066,pay for me,whale,1995
395529,you gotta crawl before you walk,the chairmen of the board,0
664298,streetlife headlights (bonus track),everything at once,2005
253083,no other one,connie francis,1993
516875,off beat,june christy,1996
282174,teknochek collision,slavic soul party!,2005
322762,be-bop-a-lula,gene vincent,1980
917055,have you seen my baby?,swanton bombs,0
842176,i'm all right,madeleine peyroux,2006
393199,saginaw_ michigan,david frizzell,0
603475,i love music,junior vasquez,0
329796,getting closer,hird,2003
59831,it takes more,ms. dynamite,2002
303658,dying song (album version),him,0
625751,una lagrima en la garganta,isabel pantoja,1996
809328,when old people die (i'll still love you),drakkar sauna,0
438135,white house blues,john renbourn,1989
156869,when the ship comes in (1993 digital remaster),the hollies,0
542759,samba pa ti,los blue rubatos,0
832389,hostage of love,razorlight,2008
328688,siempre estaré yo aquí,los patita de perro,0
666058,it came upon a midnight clear (featuring gerald wolfe at the piano),greater vision,0
461367,bay area anthem (feat. dola mic_ messy marv_ san quinn & sam hill),rappin 4-tay,0
921843,youth rebellion (revisited),angel city outcasts,2005
117081,aparentemente,kaleth morales,2005
150040,when i listen to the field mice,my little airport,2007
807979,parece,puerto rican power,1994
676521,morí,tranzas,0
309008,beauty queen,colleen,0
14480,stolen,monrose,2008
766051,daddy,joanie sommers,0
793981,dom som foljer efter oss,arja saijonmaa,0
529702,de gefrusteerde automobilist,belgian asociality,0
6756,bubblegum,helen love,1997
253549,fear,rotten sound,2006
418842,donall og,joe heaney,0
928083,stampede,roy rogers and the sons of the pioneers,0
609077,she loves me back,luther vandross,1982
162805,everything they say,eraserheads,1997
460806,pennies on the railroad tracks,jessie lee miller,2005
248756,chitta ho giya lohoo,lal chand yamla jatt,0
911131,secret lovers,atlantic starr,1986
599335,shake it woman,jr kelly,0
400498,getting snippy with it,henry rollins,2004
909758,boy (i need you),mariah carey / cam'ron / juelz santana / jimmy jones / freeway,2003
150746,agrafena beats,manuel tur,0
3691,país tropical   /   spyro gyro,jorge ben jor,0
516264,the only ones,lookbook,0
241781,i'll be with you (lp version),grover washington jr.,1982
529856,take me back,bonnie tyler,1982
195246,childlike faith in childhood's end,van der graaf generator,1976
597299,onawa,the van jets,2010
30080,rosalinda's eyes,billy joel,1978
807951,morning (with nicola hitchcock),hector zazou,2003
53819,remember,chris caffery,2005
845337,amor platónico,proyecto 1,0
147617,kiss (dj promo remix),noize suppressor,0
491657,riot in everyone,crashdiet,2004
459786,untitled *2,northern picture library,1993
494720,kitchen sink (sixtoo remix),amon tobin,2007
287168,like a fox,manassas,2009
199712,the way,klaas,2007
348342,living thing,the badloves,2000
822197,hard stuff,george thorogood and the destroyers,0
597262,another last shot (radio edit),vivian,0
765109,there is a light that never goes out,morrissey,2005
169277,finch on saturday,horse feathers,2006
272751,day seven,sophie sugar,2007
134413,yezd desert ghul ritual in the abandoned towers of silence,nile,0
149542,on the run,blackfoot,0
184828,cammo is my favorite color,bury your dead,2002
676036,pocket greek chorus,new radiant storm king,0
640,baby come back,player,1978
946585,like a bird_ like a plane,charlie mars,0
502213,kandivali gulley,anjali,2003
486791,verbal battle,jeru the damaja,0
621348,tian kong+dao dai,jolin tsai,0
446209,intelligentactile 101,jesca hoop,2007
921762,things to do (the best of mark lowry - volume 1 version),mark lowry,0
351728,rescue (country remix),uncle kracker,0
623507,berge versetzen,klee,2008
777213,oh dear,sophie zelmani,2002
200083,mamaoism,jackson conti,2008
338401,silent speech,hands on approach,1999
692398,m.a.r.s. (live marseille 2007),mino - soprano,0
326471,în-zvîcnirea apusului,negura bunget,0
116687,lost weekend,working week,1989
496496,celosa,paco de lucia,0
943536,there is no good in me,j. tillman,2009
464907,oh my god what have i done?,hell on wheels,2003
