movie_title,year,episode,song_title,artists,song_id,track_id
the pied piper of cleveland: a day in the life of a famous disc jockey,1955,nan,good rockin tonight,roy brown+elvis presley,562657.0,678423.0
the sweet lady with the nasty voice,2008,nan,good rockin tonight,roy brown+wanda jackson,562657.0,686773.0
elvis 56,1987,nan,good rockin tonight,roy brown+elvis presley,562657.0,429177.0
stray cats: rumble in brixton,2004,nan,good rockin tonight,roy brown,562657.0,632226.0
one hit wonderland,"[2012, 2001]",smooth criminal by alien ant farm (#2.13),attitude,alien ant farm,608828.0,171917.0
90 minutes in heaven,2015,nan,angry all the time,bruce robison+kelly willis,763754.0,331105.0
sï¿½ba dï¿½ bï¿½du,1981,(#1.1),lisboa  perto e longe,josï¿½ cid+tonicha,604803.0,230825.0
so you think you can dance,"[2005, 2006]",top 8 results (#3.19),goodbye,audio adrenaline,673327.0,217836.0
top of the pops,"[1964, 1998]",(1998-09-11),celebrity skin,hole,564375.0,303076.0
saimaa-ilmiï¿½,1981,nan,rajat,ismo alanko+hassisen kone,744462.0,602161.0
barnone,1997,nan,haven't slept in years,matthew good band,139974.0,360854.0
tillfï¿½llig fru sï¿½kes,"[2003, 2001]",nan,stay right here,the plan,909161.0,696991.0
finding the funk,2013,nan,give up the funk (tear the roof off the sucker),parliament,79248.0,439679.0
opry video classics: pioneers,2007,nan,keep on the sunny side,the carter family,214344.0,567196.0
ring of fire,2013,nan,keep on the sunny side,the carter family,214344.0,594891.0
rage against the machine: the battle of mexico city,"[2001, 1991]",nan,know your enemy,rage against the machine,624047.0,588380.0
hitman: blood money,2006,nan,before the storm,the budapest symphony orchestra+the choir of the hungarian national radio+jesper kyd,115579.0,471249.0
duran duran: greatest - the videos,"[1999, 1981]",nan,is there something i should know?,simon le bon+nick rhodes+andy taylor+john taylor+roger taylor+duran duran,593854.0,423481.0
the porter wagoner show,1961,billy walker (#1.181),i taught her everything she knows,billy walker,749153.0,261062.0
daria in is it college yet?,"[2002, 2001]",nan,digital love,daft punk+performed daft punk,535075.0,405255.0
todds pop song reviews,"[2009, 2001]",the top ten best hit songs of 2013 (#6.2),digital love,thomas bangalter+guy-manuel de homem-christo+george duke+carlos sosa+daft punk,535075.0,296730.0
beavis and butt-head,"[1993, 1996]",date bait (#4.18),all for love,bryan adams / sting / rod stewart,62826.0,25036.0
tenacious d: the complete master works,"[1997, 1999]",the fan (#1.5),lee,jack black+kyle gass+tenacious d,758079.0,234234.0
top of the pops,"[1964, 1976]",(1976-07-29),mystery song,rick parfitt+bob young+status quo,158423.0,298762.0
grand theft auto iv: the ballad of gay tony,"[2009, 2006]",nan,pjanoo (club mix),eric prydz,416160.0,457182.0
the event,"[2003, 1967]",nan,and when i die,laura nyro+shyne factory,31488.0,658591.0
county kilburn,2000,nan,dancing with tears in my eyes (live at the roundhouse),midge ure+warren cann+billy currie+chris cross+ultravox,826713.0,399227.0
tjenare kungen,2005,nan,dancing with tears in my eyes (live at the roundhouse),midge ure+warren cann+billy currie+chris cross+ultravox,826713.0,697903.0
prois tartan,2015,nan,dancing with tears in my eyes (live at the roundhouse),ultravox,826713.0,583754.0
being human,"[2008, 2004]",where the wild things are (#1.5),comfortably numb (album version),the scissor sisters,392001.0,25940.0
welcome home  roscoe jenkins,"[2008, 1981]",nan,super freak,rick james+alonzo miller,315907.0,719523.0
scarface: the world is yours,"[2006, 1981]",nan,super freak,rick james,315907.0,605803.0
boy eats girl,"[2005, 2003]",nan,spitting games,snow patrol,8188.0,374967.0
the vampire diaries,"[2009, 2005]",the night of the comet (#1.2),i get around,dragonette,646647.0,281743.0
how to lose friends & alienate people,"[2008, 2005]",nan,i get around (van she dub),dan kurtz+martina sorbara+dragonette,646647.0,476579.0
ginger snaps,"[2000, 2001]",nan,inside you,godhead,339580.0,451982.0
herbert grï¿½nemeyer: luxus live 91,"[1991, 1995]",nan,vollmond (live),herbert grï¿½nemeyer,828370.0,468685.0
the hoax,"[2006, 1969]",nan,down on the corner,john fogerty+creedence clearwater revival,895106.0,665045.0
shindig!,1964,(#2.33),pop goes the workers,chris andrews   / don wayne   / john lennon+paul mccartney+the barron knights,894639.0,211334.0
so you think you can dance,"[2005, 1998]",winners chosen (#9.15),breathing below surface,jesse cook,330232.0,218187.0
beautiful  beautiful,2011,nan,yara 04,marsen jules,459472.0,362629.0
joe satriani: live at montreux,2007,nan,always with me  always with you,joe satriani,725949.0,492800.0
top of the pops,1964,(1981-12-17),my own way (2009 digital remaster),duran duran,446523.0,301885.0
ï¿½nima,"[2009, 2008]",(#1.73),sucedï¿½neos,the new raemon,188552.0,325249.0
the punk singer,"[2013, 1993]",nan,magnet,kathleen hanna+billy karren+tobi vail+kathryn wilcox+bikini kill,217607.0,679989.0
top of the pops: the story of 1978,"[2013, 1978]",nan,nice and sleazy,the stranglers,730566.0,700029.0
greys anatomy,"[2005, 2007]",the becoming (#4.14),know when to walk away,jay clifford,102398.0,103582.0
release,"[1998, 1995]",nan,where in the hell is mike sinkovich?,less than jake,910330.0,591897.0
comment je me suis disputï¿½... (ma vie sexuelle),1996,nan,waltz for debby,bill evans,916427.0,396424.0
the guardian,1990,nan,waltz for debby,bill evans+gene lees+scott lafaro+paul motian,916427.0,663692.0
duplicity,"[2009, 2005]",nan,holographic universe,rob garza+eric hilton+thievery corporation,861533.0,423469.0
shiner,"[2000, 1999]",nan,to earth with love (extended version),cliff jones+nick crowe+nigel hoyle+james riseboro+gay dad,928241.0,612713.0
the perry como show,"[1948, 1988]",(#9.19),if i loved you,richard rodgers+perry como  with the mitchell ayres orchestra,535398.0,260648.0
wwe no way out,2004,nan,crossing borders,rey mysterio,554941.0,715782.0
american experience,1988,the donner party (#5.3),the white arcades (album version),harold budd+arrangement with warner special products,823586.0,10888.0
my name is joe,"[1998, 1968]",nan,stand by your man,billy sherrill    / tammy wynette,467441.0,550450.0
to wong foo thanks for everything  julie newmar,"[1995, 1968]",nan,stand by your man,billy sherrill+tammy wynette+david allan coe+arrangement with sony music licensing,467441.0,698244.0
the crying game,"[1992, 1968]",nan,stand by your man,tammy wynette+billy sherrill+lyle lovett,467441.0,654783.0
the year dolly parton was my mom,"[2011, 1977]",nan,light of a clear blue morning,dolly parton+the wailin jennys,18780.0,692658.0
the simpsons,"[1989, 1999]",dial n for nerder (#19.14),nbc mystery movie theme,henry mancini & his orchestra,743722.0,267527.0
john tucker must die,"[2006, 1970]",nan,never had a dream come true,stevie wonder+sylvia moy+henry cosby+ben onono,742561.0,493258.0
a short film about chilling....,1990,nan,barefoot in the head,sally rodgers+steve jones+a man called adam,899677.0,335622.0
entourage,"[2004, 1988]",tequila and coke (#7.7),one night stand,janis joplin,386717.0,83616.0
soda stereo: el ï¿½ltimo concierto,"[2005, 1990]",nan,de mï¿½sica ligera,gustavo cerati+zeta bosio+soda stereo,157437.0,620913.0
2 ryk og en aflevering,2003,nan,di grind,kaizers orchestra,902068.0,327900.0
the byrd who flew alone: the triumphs and tragedy of gene clark,"[2013, 1971]",nan,for a spanish guitar,gene clark,179239.0,651943.0
charmed,"[1998, 1999]",p3 h2o (#2.8),angels would fall,melissa etheridge,771251.0,44538.0
guapas,"[2014, 2010]",locos de amor (#1.71),stop the music,the pipettes,309632.0,104607.0
folk britannia,2006,ballads and blues (#1.1),rock island line,leadbelly,624601.0,90216.0
joe satriani: live at montreux,2007,nan,always with me  always with you,joe satriani,828588.0,492800.0
ookiku furikabutte,2007,ï¿½endan (#1.12),dramatic,base ball bear,764220.0,174699.0
punks not dead,"[2007, 1998]",nan,telling them (album),mike ness+social distortion,603988.0,585126.0
do comeï¿½o ao fim,2009,nan,ne me quitte pas,maria gadï¿½,92798.0,417208.0
britpop now,1995,nan,daydreamer,menswear,204034.0,377641.0
dance paradise,"[2010, 2004]",nan,hollaback girl,gwen stefani,220857.0,404364.0
the mindy project,"[2012, 2004]",san francisco bae (#3.13),hollaback girl,gwen stefani,220857.0,256266.0
superbad,"[2007, 2006]",nan,my favorite mutiny (album version),tariq trotter+talib kweli+boots riley+the coup,565249.0,635277.0
the perfect score,"[2004, 2002]",nan,rush hour soul,daniel goffey+gaz coombes+michael quinn+robert coombes+supergrass,630197.0,678034.0
the rhythm of life,"[1997, 1996]",melody (#1.2),all by myself,cï¿½line dion  with george martin,58957.0,265936.0
men in trees,"[2006, 2004]",the girl who cried wolf: part 1 (#2.5),nice 2 me,money mark,142412.0,152255.0
friends with kids,"[2011, 2005]",nan,a shot in the arm,jeff tweedy+jay bennett+john sturatt+wilco,585477.0,446102.0
bones,"[2005, 1999]",the witch in the wardrobe (#5.20),push that thing (jeremy word remix),dave aude,223998.0,34379.0
doogie howser  m.d.,"[1989, 1993]",thanks for the memories (#3.23),blue skies,frank sinatra,107052.0,73781.0
bmx xxx,2002,nan,cute without the 'e' (cut from the team) acoustic (album version),taking back sunday,954365.0,356431.0
the corruptor,"[1999, 2006]",nan,losing a whole year (2006 remastered lp version),stephan jenkins+kevin cadogan+arion salazar+third eye blind+arrangement with warner special products,833930.0,654185.0
nuestra mejor canciï¿½n,"[2004, 2005]",nan,amores,mari trini,869586.0,560936.0
take this job and shove it,1981,nan,crazy blue eyes,lacy j. dalton+mary mcfadden,240492.0,638821.0
some jerk with a camera,2011,the top 11 florida attractions not in california  part two (#1.5),right on redd,robbie fulks,541954.0,219212.0
the work of director spike jonze,"[2003, 1994]",nan,sure shot,beastie boys,702064.0,692127.0
the pirate,"[1948, 1996]",nan,nina,cole porter+gene kelly,581022.0,678559.0
top of the pops,1964,(1996-01-18),sandstorm,cast,36286.0,302761.0
queer as folk,2000,daddy dearest (sonny boy) (#1.9),filthy mind (trancesexual mix),amanda ghost,270072.0,189820.0
welcome to the 80s,"[2009, 1988]",house-nation und acid-parties (#1.6),the only way is up,yazz / the plastic population,37218.0,317105.0
the office,"[2001, 1988]",judgement (#1.6),the only way is up,yazz / the plastic population,37218.0,258902.0
gary moore & the midnight blues: live at montreux 1990,2004,nan,the stumble [live 1995],freddie king+sonny thompson+gary moore+the midnght blues,960105.0,449222.0
think like a man too,"[2014, 1981]",nan,give it to me baby,rick james,712792.0,694233.0
the o.c.,"[2003, 2005]",the end of innocence (#3.3),gangsters and thugs (chopped and screwed version) (explicit),transplants,172630.0,258469.0
acciï¿½n mutante,1993,nan,mineros locos (armas pal pueblo version 98),def con dos,294182.0,339075.0
roy orbison: one of the lonely ones,2015,nan,blue bayou [tribute concert],joe melson+roy orbison+linda ronstadt,724671.0,599623.0
the beach,"[2000, 1996]",nan,richard  its business as usual,barry adamson,868738.0,647997.0
a year in the life,"[1987, 1984]",while someone else is eating or opening a window (#1.11),pride (in the name of love),u2,514578.0,6252.0
vertigo 2005: u2 live from chicago,"[2005, 1984]",nan,pride (in the name of love),u2,514578.0,713043.0
one hit wonderland,"[2012, 2004]",mmmbop by hanson (#4.4),penny & me,isaac hanson+taylor hanson+zac hanson  performed by hanson,12434.0,171789.0
bad company: in concert - merchants of cool,2002,nan,deal with the preacher,paul rodgers+mick ralphs,776622.0,357879.0
the o.c.,2003,the rager (#2.19),requiem for o.m.m. (album version),of montreal,6178.0,258698.0
did you hear about the morgans?,"[2009, 1988]",nan,true love ways,buddy holly+norman petty+mickey gilley,10240.0,413846.0
top of the pops,"[1964, 1985]",(1985-10-03),trapped,colonel abrams,614462.0,302021.0
54,"[1998, 1974]",nan,hang on in there baby,johnny bristol+arrangement with polygram film+tv music,143675.0,330332.0
feeding frenzy,2010,nan,99 probalos,ifihadahifi,68707.0,437875.0
new wave hits of the 80s: just cant get enough vol. 2,"[1994, 1983]",nan,in a big country,stuart adamson+mark brzezicki+tony butler+bruce watson+big country,368180.0,555388.0
grand theft auto v,"[2013, 1981]",nan,walking into sunshine,central line+linton beckles/lipson francis/roy carter,731513.0,457321.0
one tree hill,"[2003, 2009]",darkness on the edge of town (#8.11),gold guns girls (acoustic),metric,227738.0,172720.0
zombieland,2009,nan,gold guns girls,james shaw+emily haines+metric+arrangement with zync music inc.,227738.0,732563.0
de mike burstyn show,1978,(#3.5),quiet please theres a lady on the stage,carole bayer sager+peter allen+dusty springfield,906800.0,61857.0
the marty stuart show,"[2008, 1965]",brad paisley (#3.20),once a day,bill anderson+connie smith,547511.0,253245.0
the marty stuart show,"[2008, 1965]",live from the nebraska state fair (#4.27),once a day,connie smith,547511.0,253703.0
50ï¿½ ediciï¿½n de los premios ondas,"[2003, 2010]",nan,whenever i say your name,sting / mary j. blige,646318.0,330263.0
radio 1s big weekend,"[2010, 2009]",cheryl cole  florence & the machine and ellie goulding @ r1bw (#1.7),fight for this love,cheryl cole,49871.0,191134.0
the search for robert johnson,1992,nan,32-20 blues,robert johnson+john hammond,657023.0,683259.0
top of the pops: the story of 1980,"[2015, 1979]",nan,turning japanese,david fenton+the vapors,754549.0,700126.0
goal ii: living the dream,"[2007, 1979]",nan,turning japanese,david fenton+the vapors,754549.0,453849.0
trainspotting,"[1996, 1977]",nan,lust for life,iggy pop,260181.0,701605.0
memorabilia: the video singles,"[1991, 1983]",nan,soul inside,marc almond+dave ball+soft cell,223008.0,538065.0
rocknrolla,"[2008, 2003]",nan,such a fool (live at west end theatre_ aldershot),22-20s,830095.0,597512.0
final rinse,"[1999, 2006]",nan,swing valse,gus viseur+arrangement with music sales corporation,677089.0,439452.0
rocky iii,1982,nan,take you back,frank stallone,353907.0,597702.0
insomnia,2002,nan,one more last kiss,adam schlesinger+dominique durand+andy chase+ivy,136974.0,485554.0
hollywood a go go,"[1964, 1996]",(#1.45),(all of a sudden) my heart sings,harold rome+henri herpin+mel carter,936284.0,112040.0
mars attacks!,1996,nan,i'm casting my lasso towards the sky,jimmy wakely+lee lasses white+slim whitman,163804.0,534333.0
sightseers,2012,nan,tainted love / where did our love go?,ed cobb   / brian holland+lamont dozier+eddie holland+soft cell,104923.0,614819.0
lilyhammer,"[2012, 1967]",the black toe (#2.4),crosscut saw,r.g. ford+albert king,343938.0,138886.0
the glades,"[2010, 1974]",honey (#1.9),bad luck situation,johnny winter,88297.0,246076.0
violeta se fue a los cielos,2011,nan,aqui se acaba esta cueca,violeta parra+luis castillo,870690.0,714083.0
the wedding tackle,"[2000, 1979]",nan,you've got your troubles,the fortunes+roger cook+roger greenaway,105413.0,690776.0
life on mars,2006,(#1.3),wishing well,free,808990.0,138426.0
so you think you can dance,2005,two of 14 voted off (#6.16),so insane,discovery,351295.0,218039.0
the last supper,1995,nan,top of the world,richard carpenter+john bettis+shonen knife,744986.0,669525.0
australian idol,"[2003, 2000]",top 6 performance show: the 80s (#2.27),stop!,sam brown+gregg sutton+bruce brody+chanel cole,537119.0,19432.0
el infierno,2010,nan,el crimen de culaicon,nacho hernandez+chalino sanchez,600250.0,427351.0
the o.c.,"[2003, 2004]",the undertow (#3.18),girl and the sea,the presets+samuel dixon+julian hamilton+kim moyes,214202.0,258862.0
entourage,"[2004, 2003]",vegas baby  vegas! (#3.9),as the rush comes (gabriel & dresden sweeping strings remix),motorcycle,250065.0,83898.0
perduto amor,"[2003, 1972]",nan,porta romana,umberto simonetta   - giorgio gaber   - angiolini+giorgio gaber,41180.0,574571.0
los straitjackets in concert,"[2008, 1999]",nan,state fair,danny amis+los straitjackets,850053.0,523197.0
the grand,"[2007, 1996]",nan,the ballad of jim jones,anton newcombe+the brian jonestown massacre,617495.0,662840.0
nip/tuck,"[2003, 2007]",candy richards (#5.14),take a picture,swizz beatz,882577.0,167034.0
ziegfeld girl,1941,nan,you stepped out of a dream,nacio herb brown+tony martin+chorus in a zeigfeld follies number,91489.0,732042.0
ziegfeld girl intro,2004,nan,you stepped out of a dream,nacio herb brown+gus kahn+tony martin,91489.0,732050.0
green day: rock band,"[2010, 1994]",nan,when i come around (album version),green day,818538.0,458815.0
degrassi: the next generation,"[2001, 2004]",back in black (#4.9),sweet confusion,by divine right,675656.0,63326.0
sound city,"[2013, 1983]",nan,stand up and shout,ronnie james dio /jimmy bain+dio,374986.0,624237.0
lip service,"[2010, 1978]",(#1.3),dancing in the moonlight,thin lizzy,201862.0,139089.0
blodigt jï¿½vla helvete,2008,nan,to try for the sun (2006 digital remaster),donovan,686252.0,370559.0
this christmas,2007,nan,this christmas,donny hathaway+nadine mckinnor+chris brown,551029.0,694546.0
wentworth,"[2013, 1983]",first blood (#4.1),pleasure and pain,the chameleons,537281.0,317927.0
a documentary of life,"[2012, 1978]",this is a perpendicular bisector (#1.2),who are you?,pete townshend+the who,572379.0,5911.0
csi: crime scene investigation,"[2000, 1978]",boston brakes (#14.13),who are you,pete townshend+the who,572379.0,39220.0
csi: crime scene investigation,"[2000, 1978]",karma to burn (#13.1),who are you,pete townshend+the who,572379.0,39325.0
csi: crime scene investigation,"[2000, 1978]",sex  lies and larvae (#1.10),who are you,pete townshend+the who,572379.0,39396.0
csi: crime scene investigation,"[2000, 1978]",still life (#6.10),who are you,pete townshend+the who,572379.0,39411.0
friday,1995,nan,superhoes,funkdoobiest+larry muggerud+son doobie+r. medrano,23319.0,445865.0
pet shop boys: a life in pop,"[2006, 1986]",nan,west end girls (2001 digital remaster),neil tennant+chris lowe+pet shop boys,107873.0,575208.0
the roaring 20s: mick jaggers glory years,"[2011, 1998]",nan,the last time (live),mick jagger+keith richards+the rolling stones,180927.0,681872.0
bruce almighty,"[2003, 1994]",nan,never  never gonna give ya up,barry white,203192.0,378679.0
think like a man,"[2012, 1994]",nan,never_ never gonna give ya up,barry white,203192.0,694187.0
late show with david letterman,1993,stupid human tricks/katie holmes/noel gallaghers high flying birds/governor rick perry (#19.41),come together (anthology version),john lennon+paul mccartney+the cbs orchestra,344272.0,136247.0
john lennon and yoko ono present the one-to-one concert,1972,nan,come together (anthology version),john lennon+paul mccartney+yoko ono+elephants memory,344272.0,493170.0
mondo trasho,"[1969, 2000]",nan,leader of the pack (remix),shadow morton+jeff barry+ellie greenwich+the shangri-las,306973.0,543844.0
streetdance 3d,"[2010, 2009]",nan,get sexy,bruno mars  / philip lawrence   / ari levine  / fred fairbrass  / richard fairbrass  / rob manzoli+sugababes,844358.0,632410.0
the hitcher ii: ive been waiting,"[2003, 1999]",nan,you must believe in spring,richard galliano,238345.0,665006.0
top of the pops,"[1964, 1979]",(1979-09-20),boy oh boy,racey,814461.0,300630.0
some jerk with a camera,"[2011, 1991]",star tours: the original 1987 classic (#1.3),the voyage,crash test dummies,698650.0,219138.0
los zafiros: music from the edge of time,2002,nan,he venido a despedirme,los solitarios,923010.0,523218.0
jeff buckley: goodbye and hello,"[2000, 1998]",nan,a body goes down (lp version),duncan sheik,709456.0,491013.0
top of the pops,"[1964, 1995]",(1995-06-15),my love is for real,paula abdul+rhett lawrence,643907.0,302435.0
saturday night live,"[1975, 1998]",bill murray/lucinda williams (#24.14),can't let go,lucinda williams,611404.0,201444.0
dexter,"[2006, 2007]",its alive! (#2.1),voodoo jailtime,daniel licht,882681.0,69612.0
forsthaus falkenau,"[1989, 1999]",biofieber (#15.3),she's all i ever had,ricky martin,64351.0,90864.0
malcolm in the middle,"[2000, 1999]",bomb shelter (#7.18),big time operator,scott morris+big bad voodoo daddy,607058.0,148274.0
