,id,ltable_id,rtable_id,ltable_movie_title,ltable_year,rtable_movie_title,rtable_year,gold_label
41,538,1257.0,780446.0,this is it,2009,this is it,2009.0,1
270,3187,5448.0,633221.0,shes having a baby,"[1988, 1991]",she's having a baby,1988.0,1
50,712,5890.0,187319.0,diary,"[2010, 1994]",diary,1998.0,0
209,2428,2943.0,399252.0,la mujer de mi vida,1998,la mujer de mi vida,2001.0,0
317,3777,771.0,485676.0,baseball,"[1994, 1997]",mr. baseball,1992.0,0
316,3754,1342.0,538405.0,p.o.v.,"[1988, 2003]",p.o.v.,2000.0,0
331,3949,331.0,527631.0,once upon a time in the midlands,2002,once upon a time in the cia,2007.0,0
123,1528,5526.0,76361.0,baseketball,1998,baseketball,1998.0,1
222,2594,4316.0,711880.0,the dream,"[2014, 2003]",the dream,2006.0,0
62,867,5879.0,840841.0,what happens in vegas,"[2008, 2006]",what happens in vegas,2008.0,1
302,3593,1817.0,839145.0,welcome to the 80s,"[2009, 1980]",welcome to the bubs,2013.0,0
130,1650,6877.0,672851.0,super,2010,super power,2013.0,0
187,2242,2981.0,649457.0,so you think you can dance,"[2005, 2010]",so you think you can kill,2013.0,0
23,308,4671.0,839154.0,welcome to the dollhouse,1995,welcome to the dollhouse,1995.0,1
43,555,2987.0,397695.0,la linea,"[2009, 2008]",la linea,2009.0,1
0,33,3476.0,571847.0,prison break,2005,prison break,2008.0,1
201,2370,3288.0,731979.0,the last american virgin,1982,the last american virgin,1982.0,1
339,4044,2605.0,758556.0,the school of rock,"[2003, 1986]",the school of rock,2003.0,1
98,1292,939.0,108902.0,boy eats girl,"[2005, 2003]",boy greets girl,2008.0,0
387,4547,7247.0,492914.0,my name is earl,"[2005, 2004]",my name is naji,2010.0,0
178,2154,6168.0,714690.0,the l word,"[2004, 2003]",the f word,2005.0,0
256,3060,3027.0,720932.0,the boy with the hungry eyes,1970,the girl with the hungry eyes,1967.0,0
94,1255,600.0,801615.0,tuno negro,"[2001, 2000]",tuno negro,2001.0,1
369,4344,7092.0,708010.0,the hunter,"[2011, 1984]",the dakota hunter,2011.0,0
95,1257,17.0,698578.0,the bleeding,"[2011, 2008]",the bleeding,2011.0,1
351,4177,4865.0,797599.0,trick r treat,"[2007, 2004]",trick or treat,2007.0,1
169,2092,6187.0,715433.0,the family man,"[2000, 1978]",the family web,1998.0,0
69,943,573.0,860471.0,you again,"[2010, 2003]",you again,2010.0,1
305,3619,6880.0,411119.0,le premier cercle,"[2009, 2006]",le cercle,2012.0,0
48,685,1168.0,616903.0,saturday night live,"[1975, 2009]",saturday night thing,2014.0,0
207,2418,4011.0,763421.0,the dark chronicles,"[2011, 1956]",the spiderwick chronicles,2008.0,0
279,3383,1135.0,389274.0,looking: the movie,2016,l: the movie,2013.0,0
227,2658,6673.0,690055.0,sing sing thanksgiving,"[1974, 1990]",thanksgiving,1990.0,0
148,1798,6902.0,317498.0,human traffic,"[1999, 2010]",human traffic,2011.0,1
143,1767,3845.0,566876.0,post mortem,"[1999, 1993]",post mortem,2001.0,0
180,2182,11.0,764060.0,the good shepherd,"[2006, 1998]",the star shepherd,2011.0,0
131,1661,1019.0,116960.0,burning palms,"[2010, 2009]",burning palms,2010.0,1
357,4241,1658.0,377340.0,knockout,"[1941, 2002]",knockout,2007.0,0
398,4649,6299.0,8526.0,90 minutes in heaven,2015,7 minutes in heaven,2011.0,0
262,3119,3836.0,245597.0,fifty,1999,fifty,1999.0,1
324,3887,5993.0,184062.0,desperado,1995,desperado,1995.0,1
203,2385,1045.0,513891.0,not a photograph: the mission of burma story,"[2006, 1981]",not a photograph: the mission of burma story,2006.0,1
84,1111,5764.0,448918.0,made in chelsea,"[2011, 2010]",made in china,2006.0,0
121,1519,2067.0,802266.0,tusk,"[2014, 1964]",tusk,2014.0,1
345,4099,6124.0,424749.0,forget me not,"[2009, 2006]",let me not,2007.0,0
366,4300,5796.0,540878.0,pale blood,1990,pale blood,1990.0,1
91,1239,6458.0,743035.0,the motel life,"[2012, 2002]",the motel,2010.0,0
82,1087,6454.0,740133.0,the mindy project,2012,the mars project,2008.0,0
267,3170,1300.0,762896.0,the soul of a man,"[2003, 1964]",the soul of a man,2003.0,1
119,1484,5153.0,649458.0,so you think you can dance,"[2005, 2009]",so you think you can prance,2013.0,0
291,3532,433.0,165744.0,dancing with the stars,"[2005, 2003]",dancing with the pros,2005.0,0
57,758,2026.0,854181.0,wrong side of town,"[2010, 2007]",wrong side of the bus,2009.0,0
321,3837,6492.0,743978.0,the l word,"[2004, 2006]",the n word,2011.0,0
257,3063,5749.0,695121.0,the bag man,"[2014, 1969]",the bad man,2015.0,0
355,4225,2445.0,294676.0,the tell-tale heart,"[2016, 2005]",haunted poe: the tell-tale heart,2009.0,0
42,552,47.0,288715.0,year of the dog,2007,hair of the dog,2008.0,0
105,1385,4316.0,728075.0,the dream,"[2014, 2003]",the impossible dream,2017.0,0
368,4336,449.0,576351.0,punks dead: slc punk 2,"[2016, 1997]",punk's dead: slc punk 2,2016.0,1
273,3293,2258.0,314216.0,house of 9,"[2005, 2003]",house of love,2000.0,0
353,4218,4832.0,121699.0,cama de gato,2009,cama de gato,2012.0,0
38,515,6077.0,631917.0,shelter,2014,shangku shelter,2017.0,0
53,731,3320.0,536408.0,shes out of control,"[1989, 1959]",out of control,1992.0,0
347,4131,139.0,763203.0,the crying game,"[1992, 1968]",the spanking game,1993.0,0
128,1619,7146.0,527656.0,once upon a time,"[2011, 1957]",once upon a time...,2006.0,0
290,3530,6402.0,165744.0,dancing with the stars,"[2005, 1989]",dancing with the pros,2005.0,0
28,426,6144.0,718195.0,the forger,"[2012, 1988]",the forger,2012.0,1
183,2216,6190.0,649457.0,so you think you can dance canada,"[2008, 2007]",so you think you can kill,2013.0,0
163,1981,2371.0,747439.0,the way,"[2010, 1972]",the other way,2010.0,0
151,1813,4396.0,741325.0,the affair,"[2014, 1974]",the midnite affair,2011.0,0
244,2938,6443.0,616880.0,saturday night live,"[1975, 2006]",saturday night,2011.0,0
202,2384,783.0,735290.0,the kill list,2007,the list,2005.0,0
31,447,2664.0,373755.0,killing bono,"[2011, 1984]",killing bono,2011.0,1
32,470,5462.0,721809.0,the girl,2012,the good girl,2011.0,0
127,1605,3348.0,555996.0,pi,1998,pi,1998.0,1
185,2232,4460.0,649457.0,so you think you can dance canada,2008,so you think you can kill,2013.0,0
372,4377,5163.0,300352.0,the rainmaker,"[1997, 1952]",henry  the rainmaker,1949.0,0
288,3520,2258.0,314217.0,house of 9,"[2005, 2003]",house of luk,2001.0,0
362,4284,3864.0,845394.0,white men cant jump,"[1992, 1966]",white men can't jump,1992.0,1
147,1797,2001.0,317498.0,human traffic,"[1999, 2010]",human traffic,2011.0,1
285,3435,3549.0,95765.0,big mommas house,2000,big momma's house,2000.0,1
370,4361,5174.0,838957.0,welcome to me,2014,welcome to ebensee,2014.0,0
177,2150,828.0,259908.0,friday night lights,"[2006, 2004]",friday night,2011.0,0
99,1306,7003.0,740342.0,the master,2012,the master,2012.0,1
338,4037,6004.0,733170.0,the last stand,"[2013, 1970]",the last stop,2013.0,0
335,4000,588.0,293526.0,harry brown,2009,harry brown,2009.0,1
197,2329,3622.0,733814.0,the lather effect,2006,the lazarus effect,2010.0,0
243,2935,1821.0,616880.0,saturday night live,"[1975, 2010]",saturday night,2011.0,0
115,1472,4460.0,649458.0,so you think you can dance canada,2008,so you think you can prance,2013.0,0
265,3127,2753.0,774230.0,the wedding tackle,"[2000, 1969]",the wedding,2001.0,0
72,976,4448.0,737115.0,the box,2009,the love box,2007.0,0
333,3951,6071.0,527631.0,once upon a time,2011,once upon a time in the cia,2007.0,0
25,312,584.0,459251.0,married life,"[2007, 2004]",married life,2007.0,1
165,2069,1771.0,553780.0,person of interest,"[2011, 1996]",persons of interest,2009.0,0
337,4033,7260.0,846544.0,whole new thing,"[2005, 2001]",whole new thing,2005.0,1
384,4512,1741.0,362857.0,kaboom,"[2010, 2009]",kaboom,2008.0,0
174,2147,4820.0,259908.0,friday night lights,"[2006, 2003]",friday night,2011.0,0
386,4533,7167.0,86923.0,beautiful  beautiful,2011,beautiful mum,2014.0,0
39,530,3359.0,701020.0,the buddy holly story,"[1978, 1973]",the buddy holly story,1978.0,1
193,2311,4247.0,701419.0,the doe boy,"[2001, 1999]",the bus boy,2003.0,0
314,3743,7092.0,743503.0,the hunter,"[2011, 1984]",the mushroom hunter,2013.0,0
88,1163,7121.0,760558.0,the shield,"[2002, 2003]",the shield,2002.0,1
70,969,2588.0,692126.0,the adventures of sebastian cole,1998,the adventures of sebastian cole,1998.0,1
87,1160,6819.0,760558.0,the shield,"[2002, 2000]",the shield,2002.0,1
292,3533,3025.0,165744.0,dancing with the stars,"[2004, 1992]",dancing with the pros,2005.0,0
242,2924,6291.0,616880.0,saturday night live,"[1975, 2007]",saturday night,2011.0,0
277,3356,4358.0,206827.0,dumb and dumber to,2014,dumb and dumber to,2014.0,1
211,2507,114.0,108924.0,boy eats girl,"[2005, 2003]",boy meets girl,2007.0,0
9,117,174.0,839179.0,welcome to the 80s,"[2009, 1988]",welcome to the majority,2013.0,0
359,4272,874.0,761471.0,the singing detective,2003,the singing detective,2003.0,1
195,2321,971.0,820006.0,valentines day,"[2010, 1966]",valentines day,2014.0,1
251,3024,2414.0,839215.0,welcome to the 80s,"[2009, 1981]",welcome to the zoo,2012.0,0
323,3886,5156.0,762473.0,the social network,"[2010, 1996]",the social suicide network,2011.0,0
192,2300,1008.0,761412.0,the simpsons movie,"[2007, 1970]",the simpsons ride,2008.0,0
117,1481,969.0,649458.0,so you think you can dance,"[2005, 2010]",so you think you can prance,2013.0,0
47,643,2.0,723943.0,the warriors,"[2005, 1979]",the gypsy warriors,1978.0,0
172,2143,3197.0,259908.0,friday night lights,"[2006, 2007]",friday night,2011.0,0
