,id,ltable_id,rtable_id,ltable_movie_title,ltable_year,rtable_movie_title,rtable_year,gold_label
3,42,2634,527545,once upon a wheel,1971,once upon a scoundrel,1974,0
276,3355,3639,206827,dumb and dumber to,2014,dumb and dumber to,2014,1
125,1560,1457,418901,led zeppelin: celebration day,2012,led zeppelin: celebration day,2012,1
77,1052,3913,204000,dreamtime,2002,dreamtime,2006,0
184,2223,6301,649457,so you think you can dance, 2009,so you think you can kill,2013,0
301,3592,4370,839145,welcome to the rileys,2010,welcome to the bubs,2013,0
379,4445,6154,248407,fireproof,2008,fireproof,2013,0
346,4130,595,763203,the crying game,1992,the spanking game,1993,0
182,2192,3349,266686,garbage! the revolution starts at home,2007,garbage! the revolution starts at home,2007,1
356,4231,4034,820193,valley girl,1983,valley girl,1983,1
80,1085,1281,740133,the mindy project,2012,the mars project,2008,0
258,3077,3713,515101,now & forever,2002,now & forever,2002,1
11,126,4565,839179,welcome to the 80s,2009,welcome to the majority,2013,0
298,3585,5690,839145,welcome to the 80s,2009,welcome to the bubs,2013,0
86,1147,854,736771,the lost city,2005,the lost colony,2007,0
266,3128,4180,774230,the wedding singer,1998,the wedding,2001,0
36,496,5730,106229,bones,2005,bones,2001,0
382,4482,971,820005,valentines day,2010,valentines day,2007,0
58,776,1592,708979,the singing detective,2003,the dead detective,2008,0
41,538,1257,780446,this is it,2009,this is it,2009,1
270,3187,5448,633221,shes having a baby,1988,she's having a baby,1988,1
50,712,5890,187319,diary, 1994,diary,1998,0
209,2428,2943,399252,la mujer de mi vida,1998,la mujer de mi vida,2001,0
317,3777,771,485676,baseball,1994,mr. baseball,1992,0
316,3754,1342,538405,p.o.v., 2003,p.o.v.,2000,0
331,3949,331,527631,once upon a time in the midlands,2002,once upon a time in the cia,2007,0
123,1528,5526,76361,baseketball,1998,baseketball,1998,1
222,2594,4316,711880,the dream, 2003,the dream,2006,0
62,867,5879,840841,what happens in vegas,2008,what happens in vegas,2008,1
302,3593,1817,839145,welcome to the 80s,2009,welcome to the bubs,2013,0
130,1650,6877,672851,super,2010,super power,2013,0
187,2242,2981,649457,so you think you can dance, 2010,so you think you can kill,2013,0
23,308,4671,839154,welcome to the dollhouse,1995,welcome to the dollhouse,1995,1
43,555,2987,397695,la linea,2009,la linea,2009,1
0,33,3476,571847,prison break,2005,prison break,2008,1
201,2370,3288,731979,the last american virgin,1982,the last american virgin,1982,1
339,4044,2605,758556,the school of rock,2003,the school of rock,2003,1
98,1292,939,108902,boy eats girl,2005,boy greets girl,2008,0
387,4547,7247,492914,my name is earl,2005,my name is naji,2010,0
178,2154,6168,714690,the l word,2004,the f word,2005,0
256,3060,3027,720932,the boy with the hungry eyes,1970,the girl with the hungry eyes,1967,0
94,1255,600,801615,tuno negro,2001,tuno negro,2001,1
369,4344,7092,708010,the hunter,2011,the dakota hunter,2011,0
95,1257,17,698578,the bleeding,2011,the bleeding,2011,1
351,4177,4865,797599,trick r treat,2007,trick or treat,2007,1
169,2092,6187,715433,the family man,2000,the family web,1998,0
69,943,573,860471,you again,2010,you again,2010,1
305,3619,6880,411119,le premier cercle,2009,le cercle,2012,0
48,685,1168,616903,saturday night live, 2009,saturday night thing,2014,0
207,2418,4011,763421,the dark chronicles,2011,the spiderwick chronicles,2008,0
279,3383,1135,389274,looking: the movie,2016,l: the movie,2013,0
227,2658,6673,690055,sing sing thanksgiving, 1990,thanksgiving,1990,0
148,1798,6902,317498,human traffic, 2010,human traffic,2011,1
143,1767,3845,566876,post mortem,1999,post mortem,2001,0
180,2182,11,764060,the good shepherd,2006,the star shepherd,2011,0
131,1661,1019,116960,burning palms,2010,burning palms,2010,1
357,4241,1658,377340,knockout, 2002,knockout,2007,0
398,4649,6299,8526,90 minutes in heaven,2015,7 minutes in heaven,2011,0
262,3119,3836,245597,fifty,1999,fifty,1999,1
324,3887,5993,184062,desperado,1995,desperado,1995,1
203,2385,1045,513891,not a photograph: the mission of burma story,2006,not a photograph: the mission of burma story,2006,1
84,1111,5764,448918,made in chelsea, 2010,made in china,2006,0
121,1519,2067,802266,tusk,2014,tusk,2014,1
345,4099,6124,424749,forget me not, 2006,let me not,2007,0
366,4300,5796,540878,pale blood,1990,pale blood,1990,1
91,1239,6458,743035,the motel life,2012,the motel,2010,0
82,1087,6454,740133,the mindy project,2012,the mars project,2008,0
267,3170,1300,762896,the soul of a man,2003,the soul of a man,2003,1
119,1484,5153,649458,so you think you can dance, 2009,so you think you can prance,2013,0
291,3532,433,165744,dancing with the stars,2005,dancing with the pros,2005,0
57,758,2026,854181,wrong side of town,2010,wrong side of the bus,2009,0
321,3837,6492,743978,the l word, 2006,the n word,2011,0
257,3063,5749,695121,the bag man,2014,the bad man,2015,0
355,4225,2445,294676,the tell-tale heart, 2005,haunted poe: the tell-tale heart,2009,0
42,552,47,288715,year of the dog,2007,hair of the dog,2008,0
105,1385,4316,728075,the dream,2014,the impossible dream,2017,0
368,4336,449,576351,punks dead: slc punk 2,2016,punk's dead: slc punk 2,2016,1
273,3293,2258,314216,house of 9, 2003,house of love,2000,0
353,4218,4832,121699,cama de gato,2009,cama de gato,2012,0
38,515,6077,631917,shelter,2014,shangku shelter,2017,0
53,731,3320,536408,shes out of control,1989,out of control,1992,0
347,4131,139,763203,the crying game,1992,the spanking game,1993,0
128,1619,7146,527656,once upon a time,2011,once upon a time...,2006,0
290,3530,6402,165744,dancing with the stars,2005,dancing with the pros,2005,0
28,426,6144,718195,the forger,2012,the forger,2012,1
183,2216,6190,649457,so you think you can dance canada,2008,so you think you can kill,2013,0
163,1981,2371,747439,the way,2010,the other way,2010,0
151,1813,4396,741325,the affair,2014,the midnite affair,2011,0
244,2938,6443,616880,saturday night live, 2006,saturday night,2011,0
202,2384,783,735290,the kill list,2007,the list,2005,0
31,447,2664,373755,killing bono,2011,killing bono,2011,1
32,470,5462,721809,the girl,2012,the good girl,2011,0
127,1605,3348,555996,pi,1998,pi,1998,1
185,2232,4460,649457,so you think you can dance canada,2008,so you think you can kill,2013,0
372,4377,5163,300352,the rainmaker, 1952,henry  the rainmaker,1949,0
288,3520,2258,314217,house of 9, 2003,house of luk,2001,0
362,4284,3864,845394,white men cant jump,1992,white men can't jump,1992,1
147,1797,2001,317498,human traffic, 2010,human traffic,2011,1
285,3435,3549,95765,big mommas house,2000,big momma's house,2000,1
370,4361,5174,838957,welcome to me,2014,welcome to ebensee,2014,0
177,2150,828,259908,friday night lights,2006,friday night,2011,0
99,1306,7003,740342,the master,2012,the master,2012,1
338,4037,6004,733170,the last stand,2013,the last stop,2013,0
335,4000,588,293526,harry brown,2009,harry brown,2009,1
197,2329,3622,733814,the lather effect,2006,the lazarus effect,2010,0
243,2935,1821,616880,saturday night live, 2010,saturday night,2011,0
115,1472,4460,649458,so you think you can dance canada,2008,so you think you can prance,2013,0
265,3127,2753,774230,the wedding tackle,2000,the wedding,2001,0
72,976,4448,737115,the box,2009,the love box,2007,0
333,3951,6071,527631,once upon a time,2011,once upon a time in the cia,2007,0
25,312,584,459251,married life,2007,married life,2007,1
165,2069,1771,553780,person of interest,2011,persons of interest,2009,0
337,4033,7260,846544,whole new thing,2005,whole new thing,2005,1
384,4512,1741,362857,kaboom, 2009,kaboom,2008,0
174,2147,4820,259908,friday night lights,2006,friday night,2011,0
386,4533,7167,86923,beautiful  beautiful,2011,beautiful mum,2014,0
39,530,3359,701020,the buddy holly story,1978,the buddy holly story,1978,1
193,2311,4247,701419,the doe boy,2001,the bus boy,2003,0
314,3743,7092,743503,the hunter,2011,the mushroom hunter,2013,0
88,1163,7121,760558,the shield,2002,the shield,2002,1
70,969,2588,692126,the adventures of sebastian cole,1998,the adventures of sebastian cole,1998,1
87,1160,6819,760558,the shield,2002,the shield,2002,1
292,3533,3025,165744,dancing with the stars,2004,dancing with the pros,2005,0
242,2924,6291,616880,saturday night live, 2007,saturday night,2011,0
277,3356,4358,206827,dumb and dumber to,2014,dumb and dumber to,2014,1
211,2507,114,108924,boy eats girl,2005,boy meets girl,2007,0
9,117,174,839179,welcome to the 80s,2009,welcome to the majority,2013,0
359,4272,874,761471,the singing detective,2003,the singing detective,2003,1
195,2321,971,820006,valentines day,2010,valentines day,2014,1
251,3024,2414,839215,welcome to the 80s,2009,welcome to the zoo,2012,0
323,3886,5156,762473,the social network,2010,the social suicide network,2011,0
192,2300,1008,761412,the simpsons movie,2007,the simpsons ride,2008,0
117,1481,969,649458,so you think you can dance, 2010,so you think you can prance,2013,0
47,643,2,723943,the warriors, 1979,the gypsy warriors,1978,0
172,2143,3197,259908,friday night lights, 2007,friday night,2011,0
