_id,ltable_id,rtable_id,ltable_song_title,ltable_year,ltable_artists,rtable_song_title,rtable_year,rtable_artists
40461,428399,958721,sweet talkin woman,1978.0,jeff lynne+electric light orchestra,sweet talkin' woman,1977,electric light orchestra
40491,601877,958721,evil woman,2002.0,electric light orchestra,sweet talkin' woman,1977,electric light orchestra
40545,723626,98531,wedding bell blues,1987.0,laura nyro,wedding bells blues,1971,laura nyro
41593,667695,550400,you made me love you (i didnt want to do it),1962.0,james v. monaco+judy garland,dear mr gable : you made me love you,0,judy garland
43075,591955,232976,the wings (from brokeback mountain),2008.0,gustavo santaolalla,brokeback mountain theme - the wings,2006,gustavo santaolalla / manny lehman / tony moran / warren rigg
43322,731778,172660,the sun,1970.0,mejla hlavsa+plastic people of the universe,winter sun,1997,out of the grey
43400,315507,690795,let it go,2006.0,james bay,let it go,2006,boney james
43571,152857,158705,break on through (to the other side),1984.0,john densmore+robby krieger+ray manzarek+jim morrison+the doors,break on through [to the other side] (live in detroit) (2006 remastered lp version),0,the doors
47925,449319,106242,love me,2010.0,the cramps,a love supreme,2004,the twilight singers
50602,601472,775670,do your thing (jaxx club remix),2003.0,basement jaxx,do your thing,2001,basement jaxx
51732,562143,593165,aint got nothin,2009.0,liam gallagher+oasis,aint got nothin,0,oasis
53299,360060,322898,shes a hum dum dinger,1971.0,jimmie davis,shes a hum dum dinger(from dingersville) pt 2,0,jimmie davis
53311,517594,679231,god dont never change,1997.0,blind willie johnson+arrangement with sony music licensing,god don't never change,1989,blind willie johnson
53417,616802,878844,the fool and bladder,1980.0,vivian stanshall+kind permission of warner bros. music ltd.,fool and bladder,1978,vivian stanshall
53607,167546,26032,me siento bien,2007.0,hombres g,me siento bien,2007,hombres g
54304,711065,689667,aint no love in the heart of the city,1997.0,michael price+dan walsh,heart of the land,0,michael londra
54595,589771,689667,shadows of the moon,1989.0,michael jones+david darling,heart of the land,0,michael londra
54786,648690,689667,in the wink of an eye,2004.0,michael mclean,heart of the land,0,michael londra
54791,720745,689667,the meaning of love,2000.0,michael mcdonald+jim photoglo,heart of the land,0,michael londra
56159,521128,632735,white  discussion,2003.0,live,white_ discussion,1994,live
57024,148134,185728,día común  doble vida,1988.0,gustavo cerati+charly alberti+soda stereo,día común- doble vida,0,soda stereo
59321,460932,470206,estranged,1992.0,guns n roses,estranged,1991,guns n' roses
59859,391155,833419,i think i love you,1998.0,the partridge family,i need you,0,the dells
61378,648597,871126,left alone among the living,2005.0,lee / lewis+spearmint,left alone among the living,2003,spearmint
62183,503069,619611,let the music play,1986.0,shannon,let the music play,0,shannon
62660,680388,781079,tears,1989.0,frankie knuckles,tears (classic vocal),0,frankie knuckles presents satoshi tomiie
62784,656995,356383,hang on sloopy,1991.0,wes farrell+bert berns+the mccoys,hang on sloopy,1965,the mccoys
63680,627315,132827,fable,1996.0,robert miles,fable,1996,robert miles
63895,431614,660828,river of tears,1999.0,eric clapton+simon climie,river of tears (live),0,eric clapton
64432,527491,823591,flash in the night,2008.0,tim norell+björn håkanson+secret service,flash in the night,1982,secret service
65515,450779,337648,staying out for the summer,1998.0,nigel clark+andy miller+mathew priest+dodgy,staying out for the summer (summer '95),1995,dodgy
65705,559792,699775,11,1995.0,lunachicks,11,1992,lunachicks
66527,655875,322762,be-bop-a-lula,1989.0,gene vincent   / tex davis+gene vincent+his blue caps  (as gene vincent+his blue caps),be-bop-a-lula,1980,gene vincent
68077,136349,832389,hostgage of love,1992.0,razorlight,hostage of love,2008,razorlight
70031,302056,911131,secret lovers,1964.0,david lewis+wayne lewis+atlantic starr,secret lovers,1986,atlantic starr
70550,595073,3691,país tropical,2016.0,jorge ben jor,país tropical   /   spyro gyro,0,jorge ben jor
71632,574962,30080,rosalindas eyes,1982.0,billy joel,rosalinda's eyes,1978,billy joel
73048,714245,348342,it your thing,1976.0,the isley brothers,living thing,2000,the badloves
73235,684923,765109,there is a light that never goes out,1992.0,johnny marr+morrissey+the smiths,there is a light that never goes out,2005,morrissey
74419,79675,640,baby come back,2000.0,j.c. crowley+peter beckett+player,baby come back,1978,player
74420,213825,640,baby come back,1992.0,player,baby come back,1978,player
74747,188396,446209,intelligentactile 101,2008.0,jesca hoop,intelligentactile 101,2007,jesca hoop
75980,690537,322759,how to make a margarita,2000.0,joe kraemer,got to make a way - original,0,joe higgs
78509,631788,412884,lightning strikes,1981.0,lou christie,lightnin' strikes,1965,lou christie
78939,722785,218291,the stroke,2000.0,billy squier,the morning paper,0,billy walker
79311,557611,802937,la meva gent,2010.0,la resistència,la sombra,0,la migra
79640,236197,194396,cindy,1960.0,andy griffith+ron howard+joanna moore,cindy (digitally remastered 93),0,andy griffith
81480,674116,314667,i am a pizza (the pizza man),1986.0,peter alsop,i am the rain,2009,peter doherty
81515,730155,314667,lilacs in the rain,1948.0,peter de rose,i am the rain,2009,peter doherty
83177,665718,838941,when i grow up,2008.0,rodney jerkins+jim mccarty+paul samwell-smith+theron thomas+timothy thomas+the pussycat dolls,when i grow up,2008,the pussycat dolls
83296,182420,250954,para que no me olvides,2000.0,juan fernando velasco,hoy que no estas,2003,juan fernando velasco
83410,451692,895157,classic girl,1993.0,janes addiction,classic girl (2006 remastered album version),2006,jane's addiction
85720,457968,499351,behind the groove,2002.0,teena marie+dick rudolph,behind the groove,1980,teena marie
87807,146249,634931,volare,2007.0,domenico modugno+franco migliacci+english lyrics by mitchell parish+the mcguire sisters,volare,2008,mcguire sisters
89273,716864,167808,hey tomorrow,2016.0,jim croce,hey hey,2002,jim stärk
90213,721173,881404,i wanna be,2006.0,emma roberts,i wanna be,2005,emma roberts
90616,414140,357693,summer in the city,1995.0,steve boone+mark sebastian+john sebastian+the lovin spoonful,link in the chain,2001,john sebastian
95674,650192,47088,boogie chillun,1980.0,john lee hooker,house rent boogie,1950,john lee hooker
96424,614042,554320,theme from six million dollar man,2007.0,oliver nelson,theme from mr. broadway,1965,oliver nelson
97459,254015,373564,endless sleep,2008.0,jody reynolds+marty stuart+the fabulous superlatives,endless sleep,1958,jody reynolds
97491,491016,845060,kick out the jams,2003.0,michael davis+rob tyner+wayne kramer+/ fred sonic smith+dennis thompson+jeff buckley,kick out the jams,2001,jeff buckley
97831,626700,682604,auld lang syne,1943.0,billy gilbert+frank fay+ensemble,auld lang syne,2004,billy vaughn
99782,363546,561877,anti body,1995.0,fetish 69,flexy body,0,69
101158,695886,837206,untitled,1936.0,harry warren,untitled,1996,harry pussy
101668,454176,880857,serenity,2004.0,godsmack,serenity,2003,godsmack
102217,656603,808520,i just want to be your everything,2003.0,barry gibb+aaron carter,i just want to be the one in your life,1978,barry manilow
102220,250655,808520,i just want to be your everything,1998.0,barry gibb+gary valentine,i just want to be the one in your life,1978,barry manilow
103096,22525,474451,(we aint got) nothin yet,1952.0,the blues magoos  in 1966-1967 on mercury records,(we ain't got) nothin' yet,1966,the blues magoos
105526,692863,547004,my baby loves lovin,1995.0,white plains,my baby loves lovin',1990,white plains
106896,279402,569176,tuesday heartbreak,1992.0,stevie wonder+macy gray,tuesday heartbreak,1972,stevie wonder
107149,583538,732733,cousins,2010.0,vampire weekend,cousins,2009,vampire weekend
109118,721989,41626,minnie the moocher,1937.0,cab calloway,minnie the moocher,1954,cab calloway
110244,689286,405330,at battles end,2011.0,lisa forseth,the end,0,lisa gerrard
113791,287147,378919,wherever you will go,2004.0,alex band+aaron kamin+the calling,wherever you will go,2001,the calling
114823,246156,315410,i (who have nothing),1964.0,jerry leiber+mike stoller+carlo donida+mogol+normie rowe,i (who have nothing),0,normie rowe
117901,15475,931244,the hunter gets captured by the game,2015.0,smokey robinson+the marvelettes,the hunter gets captured by the game,1967,the marvelettes
119059,309895,207674,damned if i do ya (damned if i dont),1989.0,all time low,damned if i do ya (damned if i don't) [blueskies remix],0,all time low
119060,347058,207674,damned if i do ya (damned if i dont),2009.0,all time low+alexander william gaskarth+butch walker+arrangement with warner music group film+tv licensing,damned if i do ya (damned if i don't) [blueskies remix],0,all time low
119746,437879,945146,illusions,2006.0,the panic channel,illusions,2004,the pharcyde
120263,464166,337619,cowboy cadillac,1981.0,michael martin murphey,cowboy christmas ball,1994,michael martin murphey
120318,627635,553129,perra enamorada,2009.0,mogol+lucio battisti+mónica naranjo,enamorada,2005,monica naranjo
120912,427736,342248,lets get down tonight,2008.0,carlos madrid+chosen few,get down,2006,carlos jean
123188,730816,657520,police & thieves,1991.0,junior murvin,police & thieves,1979,junior murvin
123842,212306,556665,the sun is an old friend,2011.0,el perro del mar,the sun is an old friend (album version),2008,el perro del mar
124857,284980,765155,seed (2.0),2002.0,cody chesnutt+tariq trotter+the roots,the seed (2.0),2007,the roots / cody chestnutt
127091,730275,28009,midnight  the stars and you,2005.0,jimmy campbell   / reginald connelly  / harry m. woods+ray noble+his new mayfair orchestra,you and me,0,regina
127371,725350,796453,at the dawning of the day,1937.0,john mccormack,out of the depths (instrumental),0,john michael talbot
129296,663064,563015,i stay away,2016.0,alice in chains,brush away,1995,alice in chains
130438,653591,347272,out of left field,1986.0,spooner oldham+dan penn+percy sledge+arrangement with warner special products,out of left field,1968,percy sledge
131908,449319,726653,love me,2010.0,the cramps,love these hands,1990,the northern pikes
134304,719651,558829,small town,2004.0,john mellencamp,small hours,1977,john martyn
138298,114797,829889,birthday sex,2010.0,jeremih,birthday sex,2009,jeremih
138371,167009,665340,cocaine blues,2003.0,dave van ronk,monday mornin' blues,0,dave fletcher
138383,729899,665340,breadline blues,1990.0,dave grusin+kenny g,monday mornin' blues,0,dave fletcher
138641,630270,297897,give me back my wig,2004.0,theodore roosevelt taylor,give me your change,0,roosevelt sykes
140590,495540,374559,opening titles,1993.0,john williams,opening titles (jurassic park/soundtrack version),0,john williams
140937,585061,795175,dont want you back,2016.0,the joykiller,gonna win you back,0,the contours
141722,313551,617830,fencewalk,2016.0,mandrill,fencewalk,1973,mandrill
143639,309933,574154,the battle of evermore,1989.0,jimmy page+robert plant,battle of evermore,0,jimmy page / robert plant
144866,687918,577985,a solid citizen of the solid south,1946.0,arthur schwartz,east of the sun,1993,arthur tracy
146017,202112,55622,red skies at night,1975.0,the fixx,red skies,1982,the fixx
146085,653986,55622,red eye,2008.0,the may fire,red skies,1982,the fixx
146118,256743,127168,youre just in love,1976.0,irving berlin+ethel merman+jerry nelson,you're just in love,1999,ethel merman
146607,559540,252688,if this is love,2014.0,the precisions,what love is this,2003,the bad plus
146612,724752,252688,this is rock n roll,1999.0,the kids,what love is this,2003,the bad plus
150013,629582,330588,all i have to do is dream,1988.0,felice bryant+boudleaux bryant+the everly brothers,all i have to do is dream,0,everly brothers
150248,444839,908827,flaming doo,2007.0,alan silvestri,flaming doo,1997,alan silvestri
150890,729907,705804,i wanna sex you up,2008.0,elliott straite+willie clarke+betty wright+bryan abrams+mark calderon+kevin thornton+sam watters+color me badd+arrangement with warner music group film+tv licensing,i wanna sex you up (single mix),1991,color me badd
150891,440342,705804,i wanna sex you up,1992.0,color me badd,i wanna sex you up (single mix),1991,color me badd
151050,660778,342692,are you ready for freddy?,1988.0,the fat boys,are you near?,2001,the shermans
151432,214392,469563,kinda new,2007.0,spektrum,kinda new (tiefschwarz dub),0,spektrum
152265,638056,306169,get on the good foot,2015.0,james brown,get on the good foot,0,james brown
152923,674053,164986,the customer is always right,1952.0,the modernaires,the song is ended,1998,the mills brothers
153758,418410,428686,shinola,2009.0,dolly parton,shinola,2008,dolly parton
153886,694029,169882,here comes that rainy day feeling,2001.0,the fortunes+roger cook   / roger greenaway  / tony macaulay,here comes that rainy day feeling again,1979,the fortunes
154496,723769,338104,the whores hustle and the hustlers whore,2011.0,pj harvey,the whores hustle and the hustlers whore,2000,pj harvey
156703,419786,475298,secret love,1975.0,sammy fain+paul francis webster+doris day,secret love,1955,doris day
157021,365390,794108,new in town,2009.0,little boots,new in town [no one is safe - al kapranos remix],2009,little boots
157617,700259,958300,i loves you  porgy,1988.0,george gershwin+bill evans,i live for you,1994,george harrison
158010,492604,277630,come around,2007.0,mental as anything,come around,1980,mental as anything
158126,660175,77575,swinging on a star,2004.0,johnny burke+jimmy van heusen+bing crosby,swinging on a star,1962,bing crosby
160003,532358,899486,embry threatens,2004.0,clint mansell,embry threatens,2002,clint mansell
160596,574360,460471,the message,2014.0,andy glover+andy kavanagh+keywest,hidden message,0,andy tau
162974,700104,944525,the iron lady,2014.0,john wells+janet brown,lady,0,john berry
163461,214225,9757,total all out of water,2007.0,add n to x,total all out water,2002,add n to (x)
165901,723721,738964,i believe in the good of life,2005.0,the hidden cameras,war of life,0,the sick
165930,484602,738964,my life,2008.0,ayreon the don,war of life,0,the sick
165934,719770,738964,dogs life,1997.0,the eels,war of life,0,the sick
166258,301654,271571,all stood still,1964.0,ultravox,all stood still (live),1981,ultravox
166795,634331,106673,whine up,2007.0,kat deluna+elephant man,whine up,2007,kat deluna featuring elephant man
169133,527881,660004,somebody to love,2010.0,justin bieber,somebody to love,2010,justin bieber
169712,676043,368029,teenage villain,2007.0,keith mansfield,teenage travelogue,2007,keith mansfield
169733,235491,846022,mighty good,1952.0,baker knight+ricky nelson,mighty good,0,ricky nelson
170195,719396,593617,last christmas,2015.0,the bosshoss,last ride,2007,the headless horsemen
170252,58407,780701,i play chicken with the train,2005.0,cowboy troy,i play chicken with the train (album version),0,cowboy troy (featuring big & rich)
172384,346782,884405,all through the night,2014.0,keith bear,all night (album version),1991,keith washington
174107,685457,359962,it must be love,2004.0,bob mcdill+don williams,could this be love,0,jay williams
174733,485807,829364,voyager,2003.0,daft punk,voyager,2001,daft punk
177003,654923,170873,earth mother,1992.0,,mother nature's lullaby,0,banana slug string band
178028,15911,36178,a fine old english gentleman,1972.0,the trio,a fine lass you are,2008,the tossers
178038,727671,36178,i once loved a lass,2011.0,the cast,a fine lass you are,2008,the tossers
178063,660778,36178,are you ready for freddy?,1988.0,the fat boys,a fine lass you are,2008,the tossers
178881,711328,330321,i la-la-la love you,1983.0,pat travers,you don't love me,1977,pat travers
179202,18689,959012,doin it,1975.0,the accoustic warriors,spread it,2004,the blockheads
179206,188366,959012,post it,2008.0,the aluminum group,spread it,2004,the blockheads
180513,372933,411992,brand nubian rock the set,2000.0,sadat x+lord jamar+brand nubian+arrangement with warner special products,brand nubian rock the set (explicit lp version),1993,brand nubian
182506,281329,617130,elephants instrumental,2009.0,rachael yamagata,elephants (album version),0,rachael yamagata
184180,308626,7532,babys on fire (rafale remix),2006.0,benjamin diamond,baby's on fire (album version),2009,benjamin diamond
185310,532816,408400,walk me to the bridge,2014.0,james dean bradfield+nicky wire+sean moore+manic street preachers,put the wood to her,0,tree
185354,659905,327603,know your chicken,2002.0,miho hatori+yuka honda+cibo matto+arrangement with warner special products,know your chicken (album version),1996,cibo matto
189015,302070,431795,love cant turn around,1964.0,farley jackmaster funk,love can't turn around (i can't turn around),0,jackmaster' funk farley
189704,513771,517545,redonne moi ma chance,1995.0,dany brillant,redonne moi ma chance,1993,dany brillant
190256,674053,938340,the customer is always right,1952.0,the modernaires,the need is greed,0,the twinkle brothers
191475,673991,597203,the host of seraphim,2007.0,lisa gerrard+brendan perry+dead can dance,the host of seraphim,1988,dead can dance
192972,721382,55536,house of the rising sun,2015.0,the animals,the coat of arms,2006,the brother kite
193383,444253,390881,youre nobody til somebody loves you,1966.0,james cavanaugh+russ morgan+larry stock+frank sinatra,somebody loves me,1984,frank sinatra
196181,546951,112548,beautiful day,2000.0,tom cochrane,beautiful day,1999,tom cochrane
196258,705522,518672,just between you and me,1997.0,april wine,just between you and me (2002 digital remaster),0,april wine
196726,25157,625759,warm it up,1993.0,jermaine dupri+kris kross,warm it up,1992,kris kross
197357,557594,326265,sliver,1994.0,kurt cobain+nirvana,sliver,0,nirvana
198684,730821,532941,this is the first time,2011.0,truly smith,the lady is a tramp,0,tommy smith
200034,286679,532450,this is it,2004.0,dannii minogue,this is it (one world original 7' mix),2009,dannii minogue
200241,449319,513296,love me,2010.0,the cramps,love uprising,1971,the chi-lites
200248,193196,513296,love you better,2009.0,the maccabees,love uprising,1971,the chi-lites
201321,364885,18946,the best is yet to come,2006.0,cy coleman+carolyn leigh+peggy lee,the best is yet to come (1995 digital remaster),0,peggy lee
202368,726786,562409,drift away,2003.0,mentor williams+dobie gray,drift away,1973,dobie gray
204260,314619,158212,invincible,2009.0,adelitas way,invincible (wwe superstars theme song) (explicit),0,adelitas way
204290,317067,472970,unveiling the secret,2009.0,psyche,unveiling the secret (god's bow remix),2006,psyche
204654,103664,253878,hummingbird,2005.0,wilco,hummingbird,2004,wilco
204674,617000,905752,solig morgon,1955.0,evert taube,solig morgon,0,sven-bertil taube
205072,177761,775981,older guys,2010.0,chris hillman+bernie leadon+gram parsons+the flying burrito brothers,older guys,1970,the flying burrito brothers
205639,553263,139425,rehab,2012.0,amy winehouse,rehab,2006,amy winehouse
207615,51739,590514,28 butts ,2005.0,little jackie,28 butts (explicit),2008,little jackie
207819,11955,655494,how can you mend a broken heart,2002.0,barry gibb+robin gibb+ruben studdard,how can you mend a broken heart,2003,ruben studdard
209071,719396,47772,last christmas,2015.0,the bosshoss,last one standing,0,the feminists
211502,486527,19190,musetto,1958.0,domenico modugno,musetto,1987,domenico modugno
211913,720049,687509,im the daddy of rock and roll,2003.0,wesley willis,i'm the daddy of rock and roll,1997,wesley willis & the dragnews
211934,720059,687509,rock and roll mcdonalds,2008.0,wesley willis,i'm the daddy of rock and roll,1997,wesley willis & the dragnews
212826,654938,166678,lullaby (live at wembley arena),1991.0,the cure,lullaby,1989,the cure
213126,721989,117115,minnie the moocher,1937.0,cab calloway,minnie the moocher,1954,cab calloway
214279,160995,855842,einfach sein,2010.0,die fantastischen vier,einfach sein,2007,die fantastischen vier
215598,305069,75992,buona sera,1952.0,carl sigman+peter de rose+line renaud,buona sera (signorina),0,line renaud
216720,726098,686041,walk on the wild side,1998.0,lou reed,walk on the wild side,1972,lou reed
216731,445160,686041,walk on the wild side,1998.0,lou reed+a tribe called quest+q-tip+ali shaheed muhammad+phife dawg,walk on the wild side,1972,lou reed
218589,683260,587972,walking blues,1992.0,robert johnson+john hammond+honeyboy edwards,gambling blues,1965,john hammond
219151,415587,199770,il primo bacio che darò,1966.0,federico monti arduini+gigliola cinquetti,il primo bacio che darò,1983,gigliola cinquetti
220202,356285,265727,super loser,2006.0,japanther,super loser,2003,japanther
220406,253320,308918,then and only then,2008.0,bill anderson+connie smith,then and only then,1965,connie smith
220824,721382,673929,house of the rising sun,2015.0,the animals,fingers of the sun,1967,the fugs
220840,670123,673929,dont look back into the sun,2011.0,the libertines,fingers of the sun,1967,the fugs
220852,258794,673929,sail into the sun,2003.0,the funky lowlives,fingers of the sun,1967,the fugs
221102,380592,673929,top of the world,2005.0,the all-american rejects,fingers of the sun,1967,the fugs
221132,389440,673929,end of the line,1989.0,the traveling wilburys,fingers of the sun,1967,the fugs
221499,648119,85616,headed for the blues,1959.0,albert glasser,blues for evan,2008,albert castiglia
222725,684622,323818,nothings gonna stop us now,2014.0,albert hammond+diane warren+jefferson starship,nothings gonna stop us now,0,starship
222996,256747,868793,theres no business like show business,1976.0,irving berlin+dave goelz+jim henson+richard hunt+ethel merman+frank oz+eren ozker,there's no business like showbusiness,0,ethel merman
223613,702131,338110,double down,1999.0,five horse johnson,call me down,2006,five horse johnson
224239,719965,957157,hot child in the city,1998.0,nick gilder+jimmy mcculloch,history in the making,2003,nick holder
224619,88991,739710,un año más,1963.0,ana torroja,un año mas,2006,ana torroja
225689,639107,298766,try (just a little bit harder),2009.0,jerry ragovoy+chip taylor+janis joplin,try (just a little bit harder),1969,janis joplin
228257,541410,64501,marrakech,2004.0,atb,marrakech,2004,atb
229040,723560,78047,proud mary,1978.0,john fogerty+creedence clearwater revival,proud mary,1969,creedence clearwater revival
230664,348429,172256,if im a dreamer arent we all,2009.0,gracie fields,if you fail we all fail [sebastian mix version],2007,fields
231275,166045,733625,where have all the cowboys gone?,2011.0,paula cole,where have all the cowboys gone? (dekkard's rancho pepe mix version),0,paula cole
232675,457375,918945,dirty white boy,2013.0,foreigner,dirty white boy (lp version ),1982,foreigner
234073,557585,111320,breed,1994.0,kurt cobain+nirvana,breed,0,nirvana
234194,723316,66861,i have nothing,2000.0,david foster+linda thompson,i sing,0,david saylor
234224,319842,66861,i need you,2011.0,david cheshire,i sing,0,david saylor
236426,341110,17709,string quartet no. 1 movement 2 minuet trio,2004.0,mark thomas,movement,0,mellow mark
236679,687776,803221,no beliefs no reliefs,2006.0,,no one,0,cece winans
240926,491717,341658,last date,1999.0,floyd cramer,your last goodbye,1995,floyd cramer
242440,722431,525924,neon,2008.0,,neon,2003,the kovenant
243412,648930,958006,custers last fan,2006.0,tony grassano,fy fan,0,tony senghore
245005,305017,556190,rebirth got fire,2010.0,rebirth brass band,fire,0,rebirth brass band
248514,691024,195047,the wheels on the bus,2009.0,the white stripes,back on the streets,2006,white lion
251362,46824,692865,no te llamaré,2002.0,douglas bastidas+tranzas,no te llamaré,2000,tranzas
251682,713427,536727,medicina de amor,1995.0,raulin rodriguez,el milagro de tu amor,0,tito rodriguez
251694,575920,613544,something happened on the way to heaven,1990.0,phil collins+daryl stuermer,something happened on the way to heaven (live),1990,phil collins
251976,624143,600952,the price you gotta pay to be free,1971.0,les mccann+eddie harris,the price you pay,1981,emmylou harris
253058,717914,427366,no justice,2005.0,the retaliates,rough justice,1988,the cross
254676,700641,137195,wild thing,2006.0,tone loc   / matt dike   / marvin young+tone loc+arrangement with warner music group film+television licensing,wild thing,0,tone loc
254960,302965,13993,its like that,1964.0,run-dmc vs. jason nevins,it's like that,1984,run-dmc vs. jason nevins
255416,721143,426292,never be me,1969.0,the pretty things,never be lonely,2006,the feeling
255467,586369,426292,never say never,2016.0,the fray,never be lonely,2006,the feeling
257320,200618,756906,samurai pizza cats closing theme,1990.0,michael airington,samurai,1985,michael cretu
257889,729349,417302,the set-up,1987.0,jerry goldsmith,the house raising,1982,jerry goldsmith
258876,685992,887421,shoot you down,1991.0,the stone roses,shoot you down,1989,the stone roses
260427,589884,262351,in the name of love,1986.0,steve dorff+phil brown,i'm convicted of love,0,roy brown
260728,648250,146531,pride and joy,1991.0,marvin gaye,pride and joy,1963,marvin gaye
261611,605403,322874,walking on the moon,2001.0,daniel may,on the moon,2009,daniel wang
261954,373764,322874,home on the range,1942.0,daniel e. kelley,on the moon,2009,daniel wang
262996,663993,511955,word up,2016.0,cameo,word up,1986,cameo
264237,302228,779814,unbearable,1964.0,the wonder stuff,unbearable,1988,the wonder stuff
264275,595393,142600,a little bit of love,2013.0,louanna lee,a little bit of you,1995,lee roy parnell
266011,327710,333651,hard times,2009.0,phil oakey+jo callis+philip adrian wright+the human league,hard times (instrumental version),0,the human league
266112,393118,424905,there is a god in you,2010.0,ramin djawadi,there is a god in you,2010,ramin djawadi
267358,718709,823744,the ghost of mary read,2011.0,eternal tango,proclamation of the damned,2008,hate eternal
267387,185193,811473,do you know the way to san jose,2001.0,burt bacharach+hal david+hayley evetts,do you know the way to san jose,1969,burt bacharach
270224,726383,725446,every day can get you down,2014.0,john schoolery,can you take it,1982,john mellencamp
272024,560096,174771,you beat me to the punch,1964.0,smokey robinson+ronald white+mary wells,you beat me to the punch,1962,mary wells
273230,466036,126932,the rose march,2012.0,the smashing pumpkins,the rose march [american gothic ep],2008,smashing pumpkins
273337,312881,335356,good life,2007.0,inner city,good life (unity remix),1993,inner city
273339,614623,335356,good life,1990.0,kevin saunderson+paris grey+roy holman+inner city,good life (unity remix),1993,inner city
274318,626449,555949,bizarre love triangle,1999.0,new order,bizarre love triangle (the crystal method extended mix),2006,new order
276672,101095,953353,ludlow st.,2007.0,julian casablancas,ludlow st.,2009,julian casablancas
277086,731765,802173,im sitting on top of the world,1983.0,ray henderson+norman brooks,the real world,0,ray davies
277637,172532,654250,on time (feat. tuphace),2003.0,disco biscuits,on time (featuring tuphace),0,the disco biscuits
277692,730810,654250,time is moving on,1991.0,the blackbyrds,on time (featuring tuphace),0,the disco biscuits
278329,89338,874441,of up and coming monarchs,2010.0,pedro the lion,of pavillions and fountains,0,the gathering
