_id,ltable_id,rtable_id,ltable_song_title,ltable_year,ltable_artists,rtable_song_title,rtable_year,rtable_artists,gold_labels
279296,387381,911176,orinoco flow,2005.0,celtic woman+órla fallon+lisa kelly  ),orinoco flow,2005,celtic woman,1
282484,568718,581626,flying turkey trot,2012.0,gary richrath+reo speedwagon,flying turkey trot,1976,reo speedwagon,1
282557,99786,645352,all right now,1978.0,free,all right now,0,free,1
287318,477801,103330,fire,2013.0,kasabian,fire,2009,kasabian,1
291597,54432,856734,la balada de bonnie y clyde,2001.0,los catinos,la maquina de escribir,1996,los planetas,0
294387,359511,597589,stand alone,2012.0,bob marley,stand alone,1999,bob marley,1
296358,219293,29905,a day in the life,2011.0,the beatles,red saisl in the sunset,0,the platters,0
303028,659644,400170,the church is in mourning,2003.0,shirley caesar,dabbling in the dew,2002,shirley collins,0
311662,554789,57793,a succession of white days,2006.0,bedroom walls,succession of white days,2006,bedroom walls,1
316030,167211,542963,angels,2003.0,norah jones+wax poetic,angels (radio edit),2004,wax poetic feat. norah jones,1
317048,682399,16202,a girl like you,2002.0,the wolfgang press+michael derek allen+mark cox+andrew keith gray+arrangement with warner special products,swing like a baby,1988,the wolfgang press,0
322107,527617,196717,rocket reducer no. 62 (rama lama fa fa fa),1999.0,mc5+wayne kramer+fred sonic smith+michael davis+dennis thompson  ),rocket reducer no. 62 (rama lama fa fa fa) (lp version),0,mc5,1
324814,185145,241861,love is a matter of distance,2001.0,tim christensen+will young,light of love,1998,tim bowman,0
328506,228652,623116,almost lover,2011.0,a fine frenzy,almost lover (album version),2008,a fine frenzy,1
328727,352203,702358,mysteries,2007.0,beth gibbons+paul webb+rustin man,mysteries,2002,beth gibbons / rustin man,1
332088,630642,530791,in the shadows,2004.0,the rasmus,hard in the city,0,the creatures,0
332156,703022,530791,back in the day punk,2011.0,the secretions,hard in the city,0,the creatures,0
332197,219293,530791,a day in the life,2011.0,the beatles,hard in the city,0,the creatures,0
339819,573181,348945,time and tide,2011.0,paul williams,time,0,paul williams,0
345868,422626,352128,dark end of the street,2006.0,chips moman+dan penn+james carr,the dark end of the street,1966,james carr,1
350512,492870,495299,techno d-day,2007.0,joe strummer+the mescaleros,techno d-day,0,joe strummer and the mescaleros,1
352987,340334,351816,dark side,2012.0,the shadows of knight,dark side (lp version),0,the shadows of knight,1
355270,407109,123864,no estamos lokos (kalikeño),1995.0,antonio carmona+josé miguel carmona+juan carmona+ketama,no estamos lokos (kalikeno),0,ketama,1
357163,721143,556882,never be me,1969.0,the pretty things,deliver me,1996,the beloved,0
357248,485820,556882,guys like me,2007.0,the chicharones,deliver me,1996,the beloved,0
366471,528947,89872,youre ever so inviting,2006.0,underoath,you're ever so inviting,2006,underoath,1
368441,359676,492584,illusive consensus,2004.0,mark jansen+ad sluijter+coen janssen  simone simons+epica,illusive consensus,0,epica,1
376251,602331,487371,what is love,2013.0,haddaway,what is love >reloaded<,0,haddaway,1
380604,600616,459663,suite aus der wasser musik  allegro,1995.0,georg friedrich hndel+sdvest sinfonieorchester,allegro,1996,georg friedrich händel,0
380756,313339,28149,sneakernight,2005.0,vanessa hudgens,sneakernight,2008,vanessa hudgens,1
384598,730810,694055,time is moving on,1991.0,the blackbyrds,moving on,2004,the blockheads,0
385989,714731,60182,quelli che benpensano,2012.0,frankie hi-nrg mc,quelli che benpensano,2005,frankie hi-nrg mc,1
387672,50932,522461,you are the one,1957.0,carl smith,are you teasing me,1990,carl smith,0
394539,691024,727295,the wheels on the bus,2009.0,the white stripes,boot on the seat,0,the donkeys,0
396611,647678,139428,doctor my eyes,2002.0,jackson browne+ben folds,doctor my eyes,1972,jackson 5,0
397440,391269,103063,enter the circus,2008.0,christina aguilera+linda perry,the mass,2003,era,0
402772,601877,938536,evil woman,2002.0,electric light orchestra,evil woman,1975,electric light orchestra,1
413163,518001,380578,rock n roll fantasy,2008.0,stephen mcbean+pink mountaintops,rock 'n' roll fantasy,0,pink mountaintops,1
416441,152847,273052,here it is  take it!,1984.0,that petrol emotion,here it is take it,1988,that petrol emotion,1
417362,269895,38200,like this,1999.0,mack 10+nate dogg,like this (radio version) (feat. nate dogg),0,mack 10 featuring nate dogg,1
423795,368454,819232,bird on a wire,1990.0,leonard cohen+the neville brothers,bird on a wire,1990,neville brothers,1
431207,285951,586218,umbrella,2004.0,jls,umbrella,2009,jls,1
431445,146820,833524,lloyd  im ready to be heartbroken,2011.0,camera obscura,lloyd_ i'm ready to be heartbroken,0,camera obscura,1
445651,616681,464963,fascinated,2004.0,company b,fascinated (speedo mix),0,company b,1
456046,721382,840769,house of the rising sun,2015.0,the animals,house of jealous lovers,2000,the rapture,0
456467,523864,156294,baby-baby-baby,1995.0,l.a. reid+kenneth babyface edmonds+daryl simmons+tlc,baby-baby-baby,1992,tlc,1
457105,711065,692723,aint no love in the heart of the city,1997.0,michael price+dan walsh,the desert of my heart,0,michael whalen,0
458453,60943,261867,emergency on planet earth,1997.0,jamiroquai,emergency on planet earth,1993,jamiroquai,1
458464,679074,402894,string quartet no.1: andante cantabile,1968.0,pyotr ilyich tchaikovsky,string quartet in d : andante cantabile,0,pyotr il'yich tchaikovsky,1
462851,30118,890241,spend my life with you,1990.0,eric benét+tamia,spend my life with you (album version),1999,eric benet,1
464132,91824,651525,the devil went down to georgia,1999.0,tom crain+charlie daniels+taz di gregorio+fred edwards+the charlie daniels band,the devil went down to georgia,1979,the charlie daniels band,1
466405,345178,8675,caribou lou,2006.0,aaron d. yates+tech n9ne,caribou lou,2006,tech n9ne,1
466643,670292,729663,temptation rag,1996.0,henry lodge+p.h. phactor jug band,the donald rag,0,devine's jug band,0
467522,724308,180611,do you feel my love,2011.0,eddy grant,say i love you,1979,eddy grant,0
467938,725547,890139,in memory of the four winds,2010.0,steve peters,in the midnight hour,1971,steve cropper,0
469612,615555,513768,sensemaya,2005.0,silvestre revueltas+arrangement with sony bmg music licensing,sensemaya,2005,silvestre revueltas,1
470182,281816,361670,love sick mistake,2009.0,erin mccarley,lovesick mistake,2009,erin mccarley,1
473454,579846,909612,bird dog,1965.0,boudleaux bryant+the everly brothers,bird dog,0,everly brothers,1
478441,217646,107644,after tonight,2005.0,justin nozuka,after tonight,2007,justin nozuka,1
481976,107124,748461,every day is exactly the same,2010.0,nine inch nails,every day is exactly the same,2005,nine inch nails,1
491445,287584,314807,when a man loves a woman,2004.0,calvin lewis+andrew wright+andy abraham,when a man loves a woman,2006,andy abraham,1
493803,407259,731437,se felíz con el  per mi no hay pez,2001.0,diego herrera,no se que hacer con ella,0,pablo herrera,0
496167,104956,440384,no ordinary girl,2006.0,kate alexa+shelley rosenberg,no good,2007,kate voegele,0
496501,700074,227949,money in my pocket,2014.0,joe gibbs+dennis brown,in my dreams,0,joe zangie,0
498598,402073,397239,when i grow up,1935.0,ray henderson+shirley temple,when i grow up,2009,fever ray,0
503815,725701,814353,i cant turn you loose,1989.0,otis redding,can't turn you loose [live europe version],1967,otis redding,1
506658,466647,500640,my number one,2006.0,helena paparizou,my number one,2005,helena paparizou,1
507742,428399,618332,sweet talkin woman,1978.0,jeff lynne+electric light orchestra,sweet talking woman,1990,electric light orchestra,1
507784,601877,618332,evil woman,2002.0,electric light orchestra,sweet talking woman,1990,electric light orchestra,0
514449,418583,138046,truck drivin son of a gun,1988.0,d. deen+r. king+dave dudley,truck drivin' son of a gun,1965,dave dudley,1
515408,670930,173787,string quartet no. 8 in c minor  op. 110; 4. largo,2015.0,dmitri shostakovich+emerson string quartet,string quartet in e major_ op. 76-vi: i. allegretto-allegro,0,budapest string quartet,0
527508,629626,950307,aqueous transmission,2005.0,brandon boyd+michael einziger+alex katunich+incubus+arrangement with sony bmg music entertainment,aqueous transmission,2001,incubus,1
527647,386470,73289,where do the children play,2004.0,,do the knowledge,2000,konceptual dominance,0
533424,69213,853650,(you make me feel like) a natural woman,2002.0,gerry goffin+carole king+jerry wexler+lisa bund,(you make me feel like) a natural woman,2007,lisa bund,1
535208,68529,659584,i love lucy,1986.0,eliot daniel,love wheel,1990,daniel johnston,0
536194,23233,18266,handful of keys,1994.0,fats waller,a handful of keys,2003,fats waller,1
538270,505569,476923,sarà perchè ti amo,1985.0,ricchi e poveri+dario farina+enzo ghinazzi+duranice pace,sarà perchè ti amo (radio edit),0,ricchi e poveri,1
539391,419084,604952,io per amore,1973.0,pino donaggio,io per amore (2004 digital remaster),0,pino donaggio,1
539838,473869,944719,hitlers still a nazi,2014.0,biscoe/latter+performed by the epileptics,hitler's still a nazi,2003,the epileptics,1
543256,727819,106692,burning house of love,1985.0,john doe+exene cervenka+x.,pride in the name of love,0,john legend,0
547946,361722,745252,in fear of fear,1999.0,bauhaus,in fear of fear,0,bauhaus,1
555658,708549,380640,talk of love,1976.0,jean bouchéty+vince hill,in the name of love,1977,dan hill,0
560342,701723,151377,were all in this together,2005.0,ketch secor+willie watson+old crow medicine show,we're all in this together,2004,old crow medicine show,1
564979,231063,88046,map of the problematique,2010.0,matthew bellamy+muse,map of the problematique,0,muse,1
565858,676786,569247,bitter heart,2011.0,zee avi,bitter heart,2009,zee avi,1
570898,457807,314149,loopzilla,2004.0,george s. clinton,loopzilla,1993,george clinton,1
574557,604908,194045,i dont know you anymore,2000.0,darren hayes+daniel jones+savage garden,i don't know you anymore,1999,savage garden,1
578453,308317,312686,valium in the sunshine,2006.0,maps,valium in the sunshine,2009,maps,1
584928,709362,812454,transformation,2016.0,phil collins,transformation (phil version),0,phil collins,1
585346,647840,109774,down by the water,1995.0,pj harvey,water,1992,pj harvey,0
586417,642191,194041,song for the elf,2005.0,david rovics,song for monet,1985,david lanz,0
588085,1302,400842,man of the hour,2005.0,john farnham+steve kipner+dane deviller+sean hosein,man of the hour,2000,john farnham,1
588956,634384,535368,blue monday,2010.0,new order,blue monday,1983,new order,1
590068,299086,101158,i might be lying,1964.0,eddie+the hot rods,i might be lying,1994,eddie & the hot rods,1
591561,723561,68786,gimme some lovin,1978.0,steve winwood+muff winwood+spencer davis+the spencer davis group,gimme some lovin' (re-recorded),0,the spencer davis group,1
595356,723839,118972,give me a smile and a kiss,1920.0,john steel,smile,0,long john baldry,0
597082,176650,74799,refugee rolling,1988.0,reuben m. koroma+sierra leones refugee all stars,refugee rolling,2006,sierra leone refugee all stars,1
600623,188366,769959,post it,2008.0,the aluminum group,post it,2008,the aluminum group,1
601607,548294,744308,the tide is high,1994.0,blondie,the tide is high (4:39 version),0,blondie,1
604263,691593,846678,bring on the sunshine,1985.0,danny epps+brenda lee,rokin' on the tables,0,danny breaks,0
604704,522271,352356,honky tonk (part ii),1987.0,bill doggett+berisford shepherd,honky tonk (part 2),0,bill doggett,1
605107,519855,401771,the cow song,2005.0,the mountain goats,the jet song,0,the stoner,0
607089,588584,327417,tuesdays gone,2005.0,lynyrd skynyrd,tuesday's gone,1973,lynyrd skynyrd,1
608540,685445,353116,love song,2012.0,mark lenover,love and guilt,1984,mark knopfler,0
609318,715779,199182,save me,2005.0,shinedown,save me [pull mix],0,shinedown,1
610019,723006,34534,love  you didnt do right by me,1954.0,irving berlin+rosemary clooney,love_ you didn't do right by me,2004,rosemary clooney,1
613167,656130,774316,lazy,2005.0,daniel johnston,lazy,1980,daniel johnston,1
620591,726199,841101,last goodbye,2013.0,phong huynh.,last chance,1976,taï phong,0
621522,661482,160317,i cant live a dream,1976.0,arnold capitanelli+the osmonds,i can't live a dream,1996,the osmonds,1
625303,312769,833709,still in love song,2004.0,the stills,love in them there hills,1974,the pointer sisters,0
629220,563962,774417,el compromiso,1981.0,maría elena velasco .,el 45,0,maría elena walsh,0
633141,719421,609432,nervous and shakey,1985.0,the del fuegos,nervous reck,1994,the hentchmen,0
640082,731414,743356,love scene,1970.0,jerry garcia,lonesome love list,0,jerry kilgore,0
643509,331273,127549,kiss an angel good morning,1975.0,ben peters+charley pride,kiss an angel good mornin',1971,charley pride,1
648631,660778,93641,are you ready for freddy?,1988.0,the fat boys,what are you doing?,1999,the cucumbers,0
656309,703022,895473,back in the day punk,2011.0,the secretions,back in power (live in brighton),2005,the glitterati,0
656928,690434,339078,things i know,2010.0,dan leigh,things i miss the most,2003,steely dan,0
662910,504778,35068,where the wild roses grow,2005.0,nick cave+kylie minogue,red blooded woman/where the wild roses grow (live in new york),0,kylie minogue,1
663397,402996,907600,i was made to love her,1984.0,stevie wonder+lula mae hardaway+henry cosby+sylvia moy,i was made to love her,1967,stevie wonder,1
664348,508321,694624,la canción del viento,2012.0,javier corcobado,la canción del gitano,0,javier ruibal,0
664400,733593,666867,hoy tengo ganas de tí,2012.0,miguel gallardo,hoy,0,miguel morales,0
670510,703541,254009,long cool woman in a black dress,2012.0,allan clarke+roger cook+roger greenaway+the hollies,long cool woman in a black dress,1971,the hollies,1
671951,732231,88604, (i never promised you a) rose garden,2007.0,joe south+lynn anderson+arrangement with sony bmg music entertainment,rose garden,1970,lynn anderson,1
672767,282682,26216,im gonna get you,2012.0,angie brown,love's gonna get you,1992,jocelyn brown,0
673200,265919,846751,hold on,1959.0,hall johnson+peggy lee,hold on to freedom,0,lee michaels,0
674164,83462,701566,im good,2004.0,clipse,i'm good,2009,clipse,1
679217,261975,277272,big wind,1961.0,porter wagoner,big wind,1997,porter wagoner,1
681839,466036,777718,the rose march,2012.0,the smashing pumpkins,the zone,2003,the reach,0
683973,449319,218423,love me,2010.0,the cramps,shoot me with your love,0,the shamrock singers,0
685093,262158,540363,the carroll county accident,1961.0,porter wagoner,the carroll county accident,1989,porter wagoner,1
686116,214901,579776,weapon,2001.0,matthew good,weapon,2002,matthew good,1
686762,125719,67512,not in iowa,2010.0,kelly pardekooper,not in iowa,0,kelly pardekooper,1
699618,402768,91362,viva la fever,2004.0,sam hollander+david schommer+jill cunniff+cooler kids,viva la fever,2003,cooler kids,1
704110,724958,330160,turkey in the straw,1934.0,,pidgeon in the gate,0,jean carignan,0
705070,383658,678354,one lover at a time,1987.0,jimmy scott+richard feldman+atlantic starr+arrangement with warner special products,one lover at a time,1987,atlantic starr,1
706972,535579,401904,le rêve,2012.0,alexis rault,le veuf,2004,alexis hk,0
714093,393455,376860,pensando em você,2008.0,henrique cerqueira+claudia leitte,pensando em você,2008,cláudia leitte,1
715375,543290,40132,cant help myself,2012.0,that rogue romeo,myself to myself,1981,romeo void,0
717892,525843,895669,la ñeca,2007.0,rufo garrido+pedro laza y sus pelayeros,la negra caliente,0,pedro laza y sus pelayeros,0
723748,686006,242641,loving cup,1969.0,mick jagger+keith richards+the rolling stones,loving cup,1972,the rolling stones,1
734221,380592,390832,top of the world,2005.0,the all-american rejects,rise in the strength of jah,1999,the viceroys,0
736576,708291,121696,for the good times,2002.0,kris kristofferson+jonathan pryce,for the finding,0,kris gruen,0
737095,716413,332106,trojan horse,2005.0,the rattlesnakes,horse feathers,0,the pope,0
738006,536859,127742,the catalyst,2010.0,linkin park,the unshockable,2007,maximo park,0
740185,338596,635283,words into action,1986.0,mike leeson+peter vale+jermaine jackson,words into action,1990,jermaine jackson,1
740448,415103,939594,wake up,2007.0,hilary duff,wake up,2005,hilary duff,1
740870,522798,594115,el hombre de negro,2008.0,johnny cash+loquillo y trogloditas,el fantasma de elvis,0,loquillo y los trogloditas,0
745958,428409,314737,fall,2014.0,the psychedelic furs,fall,1980,the psychedelic furs,1
756503,722034,595289,kicking with you,2010.0,jason mraz+arrangement with warner music group film+tv licensing,kickin' with you (soundtrack version),0,jason mraz,1
757995,334626,565840,mi mariachi,1994.0,mariachi sol de mexico de jose hernandez+jose l. hernandez,mi jalisco,0,mariachi sol de mexico,0
766955,302400,583855,lenny,1964.0,supergrass,lenny,1995,supergrass,1
768534,366966,853737,boxcar blues,2001.0,kenny brown,lonesome katy blues,2003,kenny brown,0
769308,374890,130324,tryin to get the feeling again,1975.0,barry manilow,back to the wall,2002,barry blue,0
772352,473584,946083,closer,2003.0,goapele mohlabane+anthony anderson+michael aaborg+goapele,closer,2003,goapele,1
776971,620439,443741,melancholy mood,1949.0,walter schumann,blue mood,0,little walter,0
779591,544024,403489,at the fireplace,2007.0,altan urag,the roseville,2005,altan,0
779623,496172,728197,dance on your grave,1998.0,louise hoffsten+arrangement with bmg music publishing music,dance on your grave,1995,louise hoffsten,1
782230,644832,772704,how do you feel about foolin around,1985.0,kris kristofferson+willie nelson,how do you feel about foolin' around,1978,kris kristofferson;willie nelson,1
788090,346196,501729,un uomo si è dimesso,2009.0,ennio morricone,un uomo da rispettare (titoli),2005,ennio morricone,1
788096,713603,150365,niños,2008.0,pedro guerra,niños,2001,pedro guerra,1
788356,733846,721705,el mundo al revés,2007.0,maría isabel,el mundo al revés,0,maria isabel,1
789219,717299,343100,apaixonada por você,2004.0,wanessa camargo,apaixonada por você,0,wanessa,1
794411,669393,551185,four horseman of the apocalypse,2010.0,ray wylie hubbard+liz foster+lucas hubbard,dust of the chase,0,ray wylie hubbard,0
794462,652271,551185,just for the hell of it,1981.0,ray stevens,dust of the chase,0,ray wylie hubbard,0
794541,721719,551185,the birth of the blues,1948.0,ray henderson,dust of the chase,0,ray wylie hubbard,0
797384,362939,617167,changes iv,2012.0,cat stevens,changes iv,1971,cat stevens,1
798419,457343,368286,we roll deep,2013.0,the conscious daughters+carla m green+abdul-wali muhammas+karryl y smith,we roll deep (smooth radio remix),1993,the conscious daughters,1
799343,11279,309977,i saw your face,2002.0,antonio dixon+kenneth babyface edmonds+harvey mason jr.+justin guarini,i saw your face,2003,justin guarini,1
804991,205708,13118,bruttosozialprodukt,2015.0,friedel geratsch+reinhard baierle+geier sturzflug,bruttosozialprodukt,1982,geier sturzflug,1
807853,178065,721692,kick drum heart,2010.0,scott yancey avett / timothyseth avett / robert william crawford jr+the avett brothers,kick drum heart,2009,the avett brothers,1
809305,520954,189946,just,1995.0,radiohead,just,1995,radiohead,1
