product_name,num_of_words,total_str_len,avg_word_len,fraction_capitalized,num_of_non-Eng_words,num_of_digits,word(s)_with_uppercase_letters,starts_with_brand,paranthesis,)_in_last_word,\w-\w_end,\w-\w_second,\d_end,contains_year,contains_inch_info,contains_core_info,starts_with_i,concatenated_words,keywords_downstream,is_was_downstream,(_downstream,$_downstream,the_upstream,",_or_._after_string",\w-\w_downstream,label
Acer AM3470-UC30P,2,16,8.0,1.0,1,6,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1
Gateway DX4860-UB33P ,2,19,9.5,1.0,1,6,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
HP Pavilion p7-1167cb,3,19,6.333333333333333,1.0,1,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
HP Pavilion p7-1126s,3,18,6.0,1.0,1,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
HP Pavilion p7-1030,3,17,5.666666666666667,1.0,1,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Lenovo IdeaCentre K330-11691AU,3,28,9.333333333333334,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
Gateway DX4860-UB33P ,2,19,9.5,1.0,1,6,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Gateway DX4860-UB33P ,2,19,9.5,1.0,1,6,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Gateway DX4860-UB33P ,2,19,9.5,1.0,1,6,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Acer AM3470-UC30P,2,16,8.0,1.0,1,6,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
HP Pavilion p7-1167cb,3,19,6.333333333333333,1.0,1,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
HP Pavilion p7-1167cb,3,19,6.333333333333333,1.0,1,5,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
Falcon Northwest Tiki,3,19,6.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Acer Aspire One,3,13,4.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Dell Inspiron 17 5000 Series Non-Touch,6,33,5.5,1.0,3,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
Lenovo IdeaPad 100-14IBY,3,22,7.333333333333333,1.0,1,5,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
Lenovo IdeaPad 100-14IBY,3,22,7.333333333333333,1.0,1,5,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
Dell Inspiron 17 5000 Series Non-Touch,6,33,5.5,1.0,3,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
E-Fun Nextbook 10.1,3,17,5.666666666666667,1.0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Lenovo IdeaPad 100-14IBY,3,22,7.333333333333333,1.0,1,5,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
Acer Travelmate B (TMB115-MP-C23C),4,31,7.75,1.0,1,5,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
Lenovo IdeaPad 100-14IBY,3,22,7.333333333333333,1.0,1,5,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
Acer Aspire One,3,13,4.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Dell Inspiron 17 5000 Series Non-Touch,6,33,5.5,1.0,3,6,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
Acer Aspire One,3,13,4.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
Lenovo Ideapad S10,3,16,5.333333333333333,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
MSI Wind,2,7,3.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Dell Inspiron Mini 9,4,17,4.25,1.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
ASUS EeePC 900,3,12,4.0,1.0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
Acer Aspire One,3,13,4.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Acer Aspire Predator AG7750-U2222,4,30,7.5,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
CyberPower Gamer Dragon,3,21,7.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
iBuypower LAN Warrior II,4,21,5.25,0.75,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
Polywell MiniBox X5800x-3D,3,24,8.0,1.0,1,5,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
Cyberpower Gamer Dragon,3,21,7.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Acer Aspire Predator AG7750-U2222,4,30,7.5,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Acer Aspire Predator AG7750-U2222,4,30,7.5,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Acer Aspire Predator G7710-U7790A,4,30,7.5,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
Apple Mac Pro (Quad-Core),4,22,5.5,1.0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
Acer Aspire Predator G7710-U7790A,4,30,7.5,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Apple Mac Pro (Quad-Core),4,22,5.5,1.0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
HP Firebird with VoodooDNA 803,5,26,5.2,0.75,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Gateway FX6800-01e,2,17,8.5,1.0,1,6,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Acer Aspire Predator G7710-U7790A,4,30,7.5,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Acer Aspire Predator G7710-U7790A,4,30,7.5,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Acer Aspire S7-392-6411,3,21,7.0,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1
Acer Aspire S7-391-9886,3,21,7.0,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
Apple MacBook Air 13-inch (Mid 2013),6,31,5.166666666666667,1.0,3,6,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1
Sony Vaio Pro 13 ,4,13,3.25,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
Vizio 15.6-inch Thin + Light Touch (CT15T-B1),7,39,5.571428571428571,1.0,3,6,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1
Microsoft Surface Windows 8 Pro,5,27,5.4,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
Lenovo IdeaPad Yoga 13,4,19,4.75,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1
Asus Zenbook Prime Touch UX31A-BHI5T,5,32,6.4,1.0,1,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
Sony VAIO Pro 13 ,4,13,3.25,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Acer Aspire S7-392-6411,3,21,7.0,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Acer Aspire S7-392-6411,3,21,7.0,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Acer Aspire S7-392-6411,3,21,7.0,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Acer Aspire S7-393-7451,3,21,7.0,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Acer Aspire S7-393-7451,3,21,7.0,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
Dell XPS 13,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Apple MacBook Pro 13-Inch,4,22,5.5,1.0,1,2,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1
Dell XPS 13,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Samsung ATIV Book 9 Plus,5,20,4.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Acer Aspire S7-392-5410,3,21,7.0,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Dell XPS 13,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Apple MacBook Pro 13-Inch,4,22,5.5,1.0,1,2,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
Dell XPS 13,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Acer Aspire S7-392-5410,3,21,7.0,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Dell XPS 13,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Dell XPS 13,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Dell XPS 13,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Dell XPS 13,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Samsung ATIV Book 9 Plus,5,20,4.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Dell XPS 13,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Acer Aspire S7-393-7451,3,21,7.0,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Acer Aspire V 15 Nitro (VN7-591G-70JY),6,33,5.5,1.0,2,8,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1
Acer Aspire V 15 Nitro (VN7-591G-75S2),6,33,5.5,1.0,2,9,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
MSI GS60 Ghost Pro 3K,5,17,3.4,1.0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
HP Omen 15,3,8,2.6666666666666665,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
MSI GE62 Apache,3,13,4.333333333333333,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
HP Omen 15,3,8,2.6666666666666665,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
HP Omen 15,3,8,2.6666666666666665,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
HP Omen 15,3,8,2.6666666666666665,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Acer Aspire V 15 Nitro (VN7-591G-70JY),6,33,5.5,1.0,2,8,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
Acer Aspire V 15 Nitro (VN7-591G-75S2),6,33,5.5,1.0,2,9,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
MSI GS60 Ghost Pro 3K,5,17,3.4,1.0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Acer Aspire V3-772G-9460,3,22,7.333333333333333,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
Asus N550JV-DB72T,2,16,8.0,1.0,1,5,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Dell XPS 15 (9530),4,15,3.75,1.0,2,6,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Apple MacBook Pro 15-inch (2013),5,28,5.6,1.0,2,6,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1
Dell XPS 15,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Asus N550JV-DB72T,2,16,8.0,1.0,1,5,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Dell XPS 15,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
Asus N550JV-DB72T,2,16,8.0,1.0,1,5,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Dell XPS 15,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Acer Aspire V3-772G-9460,3,22,7.333333333333333,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
Acer AspireRevo,2,14,7.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Acer AspireRevo,2,14,7.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
ASUS Eee Top 1602,4,14,3.5,1.0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Polywell Giada ION-100,3,20,6.666666666666667,1.0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
Apple Mac mini ,3,12,4.0,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Acer AspireRevo,2,14,7.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
ASUS Eee Top ET2002,4,16,4.0,1.0,1,4,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
Polywell Giada ION-100,3,20,6.666666666666667,1.0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Acer AspireRevo,2,14,7.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
Acer AspireRevo,2,14,7.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
HTC Flyer,2,8,4.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
Fujitsu Stylistic Q550 (Intel Atom Z690),6,35,5.833333333333333,1.0,3,6,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
Dell XPS 12,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Fujitsu Stylistic Q550,3,20,6.666666666666667,1.0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
Kupa X11 Pro Tablet,4,16,4.0,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Sony VAIO Duo 11 (D11213CX),5,23,4.6,1.0,2,7,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Dell XPS 12,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
Dell XPS 12,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
Apple Mac mini (2014),4,18,4.5,0.6666666666666666,1,4,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
HP Pavilion Mini,3,14,4.666666666666667,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Acer Aspire ATC-605-UB11,3,22,7.333333333333333,1.0,1,5,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1
Apple Mac mini (2014),4,18,4.5,0.6666666666666666,1,4,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1
Dell Inspiron Small Desktop 3000 Series (3646),7,40,5.714285714285714,1.0,2,8,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Apple Mac mini ,3,12,4.0,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
HP Pavilion Mini,3,14,4.666666666666667,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Lenovo IdeaCentre Q190,3,20,6.666666666666667,1.0,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1
Acer Revo One (RL85-UR45),4,22,5.5,1.0,1,4,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
acer travelmate 8210-6038,3,23,7.666666666666667,0.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1
acer ferrari 5000,3,15,5.0,0.0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
acer ferrari 4000,3,15,5.0,0.0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
dell xps m1710 (blu-ray),4,21,5.25,0.0,2,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
lenovo thinkpad t60p,3,18,6.0,0.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
gateway nx570x,2,13,6.5,0.0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
dell xps m1710 (blu-ray),4,21,5.25,0.0,2,4,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
acer travelmate 8210-6038,3,23,7.666666666666667,0.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
hp pavilion dv9000t (vista),4,24,6.0,0.0,2,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Alienware 17,2,11,5.5,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
Alienware 17,2,11,5.5,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
Alienware 17,2,11,5.5,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Origin EON17-SLX (2014),3,21,7.0,1.0,2,6,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1
Alienware 17,2,11,5.5,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Alienware 17,2,11,5.5,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Alienware 17,2,11,5.5,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
MSI GT70 2PC Dominator,4,19,4.75,1.0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Origin EON17-SLX (2014),3,21,7.0,1.0,2,6,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1
Digital Storm Krypton,3,19,6.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
Alienware 17,2,11,5.5,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
MSI GT70 2PC Dominator,4,19,4.75,1.0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Digital Storm Krypton,3,19,6.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
MSI GT70 2PC Dominator,4,19,4.75,1.0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Digital Storm Krypton,3,19,6.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Alienware 17,2,11,5.5,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Origin EON17-SLX (2014),3,21,7.0,1.0,2,6,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1
MSI GT70 2PC Dominator,4,19,4.75,1.0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Origin EON17-SLX (2014),3,21,7.0,1.0,2,6,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
Digital Storm Krypton,3,19,6.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Alienware 17,2,11,5.5,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Digital Storm Krypton,3,19,6.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alienware 17,2,11,5.5,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
Origin EON17-SLX (2014),3,21,7.0,1.0,2,6,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
Alienware 17,2,11,5.5,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Alienware Area-51 ALX,3,19,6.333333333333333,1.0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Alienware Area-51 ALX,3,19,6.333333333333333,1.0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Alienware Area-51 ALX (Radeon HD 4870 X2 CrossFireX),8,45,5.625,1.0,5,7,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Eurocom Monster 1.0,3,17,5.666666666666667,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Lenovo IdeaPad Y480,3,17,5.666666666666667,1.0,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
Alienware M14x R2,3,15,5.0,1.0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Eurocom Monster 1.0,3,17,5.666666666666667,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Alienware M14x R2,3,15,5.0,1.0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
Alienware M17X (Sandy Bridge),4,26,6.5,1.0,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
Alienware M17x,2,13,6.5,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
Dell XPS 15 (Sandy Bridge),5,22,4.4,1.0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
Acer Aspire AS8950G-9839,3,22,7.333333333333333,1.0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Asus G73SW-BST6,2,14,7.0,1.0,1,3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1
Dell XPS 15 (Sandy Bridge),5,22,4.4,1.0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Dell XPS 15,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
Asus G73SW-BST6,2,14,7.0,1.0,1,3,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
Asus G73SW-BST6,2,14,7.0,1.0,1,3,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
Dell XPS 15,3,9,3.0,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
dell XPS 15,3,9,3.0,0.5,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Alienware M17X (Sandy Bridge),4,26,6.5,1.0,3,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
HP Pavilion Elite m9550f,4,21,5.25,1.0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Sony VAIO VGC-LV190Y,3,18,6.0,1.0,1,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
