product_name,num_of_words,total_str_len,avg_word_len,fraction_capitalized,num_of_non-Eng_words,num_of_digits,word(s)_with_uppercase_letters,starts_with_brand,paranthesis,)_in_last_word,\w-\w_end,\w-\w_second,\d_end,contains_year,contains_inch_info,contains_core_info,starts_with_i,concatenated_words,keywords_downstream,is_was_downstream,(_downstream,$_downstream,the_upstream,",_or_._after_string",\w-\w_downstream,label
Dell Inspiron 13 7000 Series,5,24,4.8,1.0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
EVGA GeForce GTX Titan Black graphics card,7,36,5.142857142857143,0.7142857142857143,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Intel Core,2,9,4.5,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Apple MacBook,2,12,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
Toshiba Satellite,2,16,8.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dell XPS,2,7,3.5,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Panasonic Toughbook,2,18,9.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Acer Aspire 6930G's. The dv6t,5,25,5.0,1.0,2,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Dell XPS,2,7,3.5,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Dell XPS 27 Touch and,5,17,3.4,0.75,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sony laptops. Designing,3,21,7.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Falcon Northwest Fragbox (GeForce,4,30,7.5,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Apple iMac (Nvidia,3,16,5.333333333333333,0.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Toshiba Portégé,2,14,7.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Logitech K810,2,12,6.0,1.0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dell Studio One,3,13,4.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toshiba Portege,2,14,7.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"Intel Core i-processor (aka, Sandy",5,30,6.0,1.0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Apple MacBook Pro 15-inch, the Toshiba",6,33,5.5,0.8,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
Lenovo IdeaPad Miix 10. The Surface,6,30,5.0,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
HP Envy X2,3,8,2.6666666666666665,1.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
Intel Core i7-4770K,3,17,5.666666666666667,1.0,1,5,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Lenovo ThinkPad,2,14,7.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Windows 7,2,8,4.0,1.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Intel Core i7-2670QM processor,4,27,6.75,0.6666666666666666,1,5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
HP Pavilion,2,10,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Lenovo traded the SD,4,17,4.25,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intel Core i7-740QM processor,4,26,6.5,0.6666666666666666,1,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Sony PlayStation 3,3,16,5.333333333333333,1.0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
HP Pavilion,2,10,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Apple MacBook,2,12,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Toshiba Satellite,2,16,8.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Dell XPS,2,7,3.5,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Motion Computing LE1700 Tablet,4,27,6.75,1.0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polywell Giada,2,13,6.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Apple MacBook Pro,3,15,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Asus Zenbook UX31,3,15,5.0,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
Toshiba Satellite,2,16,8.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Dell XPS One,3,10,3.3333333333333335,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HP Pavilion Elite,3,15,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
MSI Ghost Pro. The screen,5,21,4.2,0.75,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Intel HD Graphics 5500,4,19,4.75,1.0,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Toshiba Satellite,2,16,8.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Asus Zenbook UX31A-R5102F,3,23,7.666666666666667,1.0,1,6,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Acer Aspire One,3,13,4.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Dell Inspiron,2,12,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Apple MacBook 13-inch,3,19,6.333333333333333,1.0,1,2,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
Asus Transformer Book T100TA. On,5,28,5.6,1.0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Sony VAIO Tap 20 (2:53) and,6,22,3.6666666666666665,0.75,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Microsoft Office trialware, and",4,28,7.0,0.6666666666666666,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Asus ROG,2,7,3.5,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
AMD Phenom II,3,11,3.6666666666666665,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple MacBook,2,12,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Apple MacBook Pro 15-inch (Retina,5,29,5.8,1.0,2,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Apple MacBook (Core 2 Duo,5,21,4.2,1.0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
Dell Studio XPS,3,13,4.333333333333333,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HP Pavilion,2,10,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Acer Aspire Predator,3,18,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Dell Latitude,2,12,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Nvidia GeForce graphics, but the XPS",6,31,5.166666666666667,0.6,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
HP Pavilion,2,10,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Lenovo launched the MacBook Air,5,27,5.4,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Dell Latitude,2,12,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Apple MacBook Pro 13-inch (Core,5,27,5.4,1.0,2,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
Apple iMac's (Nvidia GeForce,4,25,6.25,1.0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Fujitsu and,2,10,5.0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple Pay,2,8,4.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lenovo IdeaCentre,2,16,8.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Google Chrome,2,12,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acer AS5742-6475,2,15,7.5,1.0,1,8,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Microsoft Office Trial, and Intel AppUp",6,34,5.666666666666667,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Intel HD Graphics 6000,4,19,4.75,1.0,1,4,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Dell Latitude 14,3,14,4.666666666666667,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Asus Zenbook,2,11,5.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Sony VPC-EH14FM/B,2,16,8.0,1.0,1,2,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
Samsung ATIV Book 9,4,16,4.0,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Acer C7,2,6,3.0,1.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Nvidia GeForce GTX, along",4,22,5.5,0.6666666666666666,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
MSI Trident HP Elite,4,17,4.25,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dell Inspiron 17,3,14,4.666666666666667,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Intel Core i7 quad-core,4,20,5.0,1.0,2,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Apple MacBook Pro 15-inch,4,22,5.5,1.0,1,2,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
Microsoft Office 2013,3,19,6.333333333333333,1.0,1,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Toshiba Satellite,2,16,8.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Dell Inspiron 15 7000,4,18,4.5,1.0,2,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Dell Latitude,2,12,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maingear Pulse,2,13,6.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Nvidia GeForce,2,13,6.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dell Inspiron,2,12,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Apple iMac 21.5-inch,3,18,6.0,0.5,1,3,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
Sony VAIO,2,8,4.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
HP Firebird,2,10,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Intel HD,2,7,3.5,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple MacBook,2,12,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Intel HD Graphics 3000,4,19,4.75,1.0,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital cable TV,3,14,4.666666666666667,0.6666666666666666,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dell Inspiron,2,12,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dell Inspiron 14z,3,15,5.0,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Apple MacBook Pro 15-Inch (2014),5,28,5.6,1.0,2,6,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0
Microsoft Office Starter,3,22,7.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSI Trident HP Elite Slice,5,22,4.4,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samsung offers both S,4,18,4.5,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HP Envy,2,6,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Samsung Galaxy Tab 3,4,17,4.25,1.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Digital Storm Velox (Core i7-7700K) more,6,35,5.833333333333333,0.75,2,5,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AMD Radeon,2,9,4.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nvidia GeForce GT,3,15,5.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Falcon NW ensures that,4,19,4.75,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HP p6267c-b,2,10,5.0,1.0,1,4,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Toshiba Portégé R500,3,18,6.0,1.0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
HP Folio,2,7,3.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
MSI GS60 Ghost,3,12,4.0,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HP Slate,2,7,3.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nvidia GeForce GT 330M in the,6,24,4.0,0.6,1,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Nvidia GeForce,2,13,6.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dell Latitude 12,3,14,4.666666666666667,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Lenovo Companion, Skitch Touch",4,27,6.75,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Acer TravelMate 4720-6727are equally black. If I,7,43,6.142857142857143,0.8,2,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Apple iPad,2,9,4.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Apple iMac 21.5-inch,3,18,6.0,0.5,1,3,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
Windows compatible,2,17,8.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Intel Compute Stick. The is technically,6,34,5.666666666666667,0.6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Dell XPS,2,7,3.5,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lenovo IdeaCentre,2,16,8.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
nVidia GeForce 8600 GT,4,19,4.75,0.6666666666666666,1,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
iBuypower Battalion Ultra-Thin,3,28,9.333333333333334,0.5,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
HP Pavilion,2,10,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Razer Blade Stealth,3,17,5.666666666666667,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Asus and,2,7,3.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Windows 8 Pro compatibility,4,24,6.0,0.6666666666666666,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Toshiba Excite,2,13,6.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Intel HD Graphics,3,15,5.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
AMD Radeon HD,3,11,3.6666666666666665,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samsung ATIV Book 9,4,16,4.0,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Cyberpower Gamer,2,15,7.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Lenovo Yoga,2,10,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lenovo thinkpad x60,3,17,5.666666666666667,0.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Dell XPS,2,7,3.5,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Samsung Galaxy Tab S2,4,18,4.5,1.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Panasonic Toughpad,2,17,8.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Falcon Northwest Mach,3,19,6.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Apple MacBook,2,12,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Microsoft Office Trial,3,20,6.666666666666667,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lenovo IdeaCentre,2,16,8.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Acer Travelmate B,3,15,5.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Windows Media,2,12,6.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Windows 8 (32-bit), the IdeaTab Lynx",6,31,5.166666666666667,0.75,2,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dell XPS,2,7,3.5,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Asus calls,2,9,4.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intel Core M,3,10,3.3333333333333335,1.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kupa X11,2,7,3.5,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Nvidia GeForce GTX,3,16,5.333333333333333,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Velocity Micro logo,3,17,5.666666666666667,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Intel Atom,2,9,4.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lenovo keyboards,2,15,7.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lenovo Yoga 2,3,11,3.6666666666666665,1.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Microsoft Office Starter gives you,5,30,6.0,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dell Latitude 14 Rugged,4,20,5.0,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dell covers,2,10,5.0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intel Core,2,9,4.5,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HP Pavilion,2,10,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Acer Aspire,2,10,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Windows Media Encoder was,4,22,5.5,0.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lenovo ThinkPad X200,3,18,6.0,1.0,1,3,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
Dell Precision,2,13,6.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
HP Envy 34 Curved All-in-One (2017),6,30,5.0,1.0,3,6,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Lenovo IdeaPad,2,13,6.5,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Acer Aspire TimelineX,3,19,6.333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Nvidia GeForce GTX 780M GPUs to,6,26,4.333333333333333,0.8,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LeapFrog Leapster Explorer,3,24,8.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
Toshiba Portégé,2,14,7.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Windows XP desktop,3,16,5.333333333333333,0.6666666666666666,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cyberpower Zeus,2,14,7.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nvidia GeForce GTX 680 video card,6,28,4.666666666666667,0.6,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Intel Atom processor,3,18,6.0,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Google Docs and Google Drive,5,24,4.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HP Stream 13,3,10,3.3333333333333335,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Apple MacBook Pro 13-inch (Core 2 Duo,7,31,4.428571428571429,1.0,3,3,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
AMD Phenom II X6 1055T,5,18,3.6,1.0,2,5,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
MSI Trident,2,10,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
