_id,ltable_id,rtable_id,ltable_song_title,ltable_year,ltable_artists,rtable_song_title,rtable_year,rtable_artists,gold_labels
117989,487335,555847,ready for the weekend,2010.0,calvin harris,ready for the weekend,2009,calvin harris,0
129714,431652,587650,edge of darkness,1991.0,eric clapton+michael kamen+eric clapton  / orchestra,beware of darkness (lp version),0,eric clapton,0
130975,443154,31366,a day in the life,2010.0,the beatles,life in the bloodstream,0,the guess who,0
131599,614004,31366,the stars shine in the sky tonight,2007.0,the eels,life in the bloodstream,0,the guess who,0
131985,688577,31366,in the grace of your love,2014.0,the rapture,life in the bloodstream,0,the guess who,0
132096,703022,31366,back in the day punk,2011.0,the secretions,life in the bloodstream,0,the guess who,0
132123,314775,31366,roll me over in the clover,1990.0,the group,life in the bloodstream,0,the guess who,0
132172,320969,31366,in the shadows,1973.0,the rasmus,life in the bloodstream,0,the guess who,0
132184,585033,31366,in the city,1977.0,the jam,life in the bloodstream,0,the guess who,0
132263,723424,31366,the farmers in the dell,1935.0,the jury,life in the bloodstream,0,the guess who,0
132365,731694,31366,zebra in the kitchen,1965.0,the standells,life in the bloodstream,0,the guess who,0
132485,630642,31366,in the shadows,2004.0,the rasmus,life in the bloodstream,0,the guess who,0
135803,678390,276410, (the best part of) breakin up,1987.0,phil spector+vini poncia+pete andreoli+the ronettes,(the best part of) breakin' up,1964,the ronettes,0
144190,656738,163205,mayfair in may,1938.0,vivian ellis,may,2007,vivian,0
146470,607279,887709,baby wont you be mine,2004.0,the four probes,want you baby,1979,the plasmatics,0
146721,529049,887709,baby you make my heart sing,2009.0,the channels,want you baby,1979,the plasmatics,0
147107,198076,887709,i want all of you,1999.0,the verve pipe,want you baby,1979,the plasmatics,0
147195,625758,887709,if you want to dance with me,2015.0,beardo the man,want you baby,1979,the plasmatics,0
147233,648180,887709,do you want to know a secret,2009.0,the beatles,want you baby,1979,the plasmatics,0
147911,63563,887709,find you ,2001.0,the artist life,want you baby,1979,the plasmatics,0
154004,649107,80809,pine grove blues,1986.0,dewey balfa+nathan abshire,pine grove blues (2),1993,nathan abshire,0
156386,488333,653978,waltz in b minor op 69 no. 2,2012.0,frédéric chopin+the apollo symphony orchestra,hungarian dances_ woo 1: no. 19 in b minor,0,berlin symphony orchestra,0
156475,700587,653978,symphony no. 40 in g minor,1948.0,wolfgang amadeus mozart+the nbc symphony orchestra,hungarian dances_ woo 1: no. 19 in b minor,0,berlin symphony orchestra,0
160116,706072,139128,war of the rock,1995.0,gil carson,a sign of the ages,1971,gil scott-heron,0
164843,449232,117794,king of the blues,2004.0,gary moore+the midnght blues,i'll play the blues for you,2006,gary moore,0
166197,725713,117794,for the wrong reasons,1999.0,amanda kravat+patience moore,i'll play the blues for you,2006,gary moore,0
172816,81357,521891,lay me down,2008.0,under the influence of giants,washington down,1989,the 4 of us,0
177922,653348,219369,tell laura i love her,2000.0,jeff barry+ben raleigh+ricky valance,tell laura i love her,1989,ricky valance,0
180617,649958,892960,and its alright,2011.0,peter broderick,and it's alright,2008,peter broderick,0
182549,395149,841844,close to me,1999.0,the cure,help me,0,the nimmo brothers,0
182990,449319,841844,love me,2010.0,the cramps,help me,0,the nimmo brothers,0
183073,719986,841844,somebody told me,2009.0,the killers,help me,0,the nimmo brothers,0
183242,339386,841844,all of me,2005.0,the holiday,help me,0,the nimmo brothers,0
183294,214978,841844,fall behind me,2001.0,the donnas,help me,0,the nimmo brothers,0
183763,571305,790182,get myself into it,2007.0,the rapture,get it back,2003,the limp twins,0
184164,204530,790182,got to get back (to my baby),2014.0,the bo-keys,get it back,2003,the limp twins,0
185039,543731,32820,walkin my baby back home,2003.0,fred e. ahlert+roy turk+nat king cole,walkin' my baby back home,1990,nat king cole,0
189792,303107,558848,ooh la la,1964.0,the wiseguys,ooh la hot love,2007,the fratellis,0
189793,304098,558848,ooh la,2006.0,the kooks,ooh la hot love,2007,the fratellis,0
198975,730287,799065,the beast (acoustic version),2005.0,roky erickson,the beast (live),0,roky erickson and the explosives,0
214442,175458,311178,wasnt born to follow (album version),2013.0,the byrds,half time (album version),0,the routers,0
215920,173595,364730,only fooling myself,2003.0,kate voegele,only fooling myself,2007,kate voegele,0
216386,553677,275200,all for the love of a girl,2007.0,johnny horton,the ways of a woman in love,1958,johnny cash,0
219018,250043,275200,love of the common people,1969.0,john hurley+ronnie wilkins+ed ames+johnny cash,the ways of a woman in love,1958,johnny cash,0
220305,231280,387278,what became of the likely lads,2015.0,the libertines,what became of the likely lads,0,the libertines,0
220310,574356,387278,march of the swivelheads,2015.0,the beat,what became of the likely lads,0,the libertines,0
220419,520646,387278,hen of the woods,2010.0,the cave singers,what became of the likely lads,0,the libertines,0
220472,628239,387278,ballad of the whale,1986.0,the yellowjackets,what became of the likely lads,0,the libertines,0
221193,397266,387278,fear of the future,2000.0,the residents,what became of the likely lads,0,the libertines,0
221325,157422,387278,news of the world,2005.0,the jam,what became of the likely lads,0,the libertines,0
221402,301066,387278,talk of the town,1964.0,the pretenders,what became of the likely lads,0,the libertines,0
221450,699471,387278,slaughter of the soul,2007.0,at the gates,what became of the likely lads,0,the libertines,0
221485,309705,387278,part of the union,2013.0,the strawbs,what became of the likely lads,0,the libertines,0
221610,718635,387278,man of the night,2013.0,the hunting party,what became of the likely lads,0,the libertines,0
221757,729869,387278,the bark of the dog,2011.0,the porcupine singers,what became of the likely lads,0,the libertines,0
222268,76999,387278,the fire of love,2003.0,the gun club,what became of the likely lads,0,the libertines,0
222569,665114,288967,rockin around the christmas tree,2006.0,johnny marks+brenda lee,the christmas song,1992,johnny adams,0
222572,538823,288967,i heard the bells on christmas day,1979.0,johnny marks+robert urich,the christmas song,1992,johnny adams,0
222602,687933,288967,i heard the bells on christmas day,1975.0,johnny marks+buddy ebsen,the christmas song,1992,johnny adams,0
222613,694516,288967,rockin around the christmas tree,2007.0,johnny marks+dion dimucci,the christmas song,1992,johnny adams,0
222690,87600,288967,rockin around the christmas tree,1999.0,johnny marks+brenda lee,the christmas song,1992,johnny adams,0
222705,629618,288967,rockin around the christmas tree,2009.0,johnny marks+leann rimes,the christmas song,1992,johnny adams,0
223358,720454,288967,bird song,1993.0,johnny thunders,the christmas song,1992,johnny adams,0
223382,723580,288967,the dog song,2016.0,johnny papp,the christmas song,1992,johnny adams,0
224534,707177,288967,the water,2011.0,johnny flynn,the christmas song,1992,johnny adams,0
237670,167839,720281,el puente,2010.0,los mismos,el pretexto,0,los diablitos,0
239919,25038,155989,god of emptiness,1993.0,morbid angel,god of emptiness (from the album covenant),1994,morbid angel,0
243749,509643,396603,el santo cachon,2000.0,romualdo brito+los embajadores vallenatos  with robinson damian,el santo cachon,0,los embajadores vallenatos,0
243884,167839,396603,el puente,2010.0,los mismos,el santo cachon,0,los embajadores vallenatos,0
250160,302764,243690,it only takes a minute,1964.0,take that,it only takes a minute,1992,take that,0
250183,248971,243690,it only takes a minute,2008.0,take that,it only takes a minute,1992,take that,0
252469,148585,256261,hey baby,2007.0,david baron,rock me baby,2007,david cassidy,0
252695,665410,256261,rock on,2010.0,david essex,rock me baby,2007,david cassidy,0
252947,691011,256261,baby you done me wrong,1998.0,david wurst,rock me baby,2007,david cassidy,0
261217,174325,836080,girlfriend,2003.0,the band,girlfriend in disguise,2000,the mabels,0
263992,689624,238871,just a little more love,2006.0,david guetta,have a little faith,0,david houston,0
276389,1765,108268,in the closet,2005.0,michael jackson,it's all in the name,0,clinton jackson,0
288492,25352,636767,pride & joy,1993.0,david coverdale /jimmy page,pride and joy,1993,coverdale page,0
289351,230105,600004,heaven must be missing an angel,2005.0,tavares,heaven must be missing an angel,1979,tavares,0
294991,173059,15306,you made it,2003.0,dj shadow+chris james,do it,0,dj nasty,0
295253,246075,15306,do you feel,2010.0,dj pushkin+plastic beats,do it,0,dj nasty,0
295520,457193,48207,anything goes,2009.0,major lazer+turbulence+diplo+switch,anything wrong,0,the major,0
295576,558069,48207,whats gone wrong,1987.0,the untouchables+josh harris,anything wrong,0,the major,0
295583,173912,48207,wrong choice,2003.0,the lovely feathers,anything wrong,0,the major,0
303684,403973,917461,bulerías de juan el camas,2007.0,pata negra,el truco de las mujeres,0,zafra negra,0
316589,686651,143990,just got lucky,1984.0,the joboxers,we just got to 55!,0,the foundation,0
316634,649835,143990,just got to be,2008.0,the black keys,we just got to 55!,0,the foundation,0
316856,60398,143990,i got to sleep,2014.0,the pretenders,we just got to 55!,0,the foundation,0
319641,700271,757357,all the love in the world,1985.0,carly simon,never fall in love,2006,emilie simon,0
320855,44501,231010,me against the world,1998.0,simple plan,me against the world (mtv hard rock live version),2005,simple plan,0
322178,573097,131621,tonight you belong to me,2008.0,paul stanley,never meant to hurt you,0,stanley james,0
327376,42882,883303,let the mystery be,2011.0,iris dement,let the mystery be (album version),1992,iris dement,0
327387,605244,883303,let the mystery be,2004.0,iris dement+julie staines,let the mystery be (album version),1992,iris dement,0
328005,528949,12590,easy way out,2006.0,the pink spiders,on your way out,0,the windupdeads,0
328022,674845,12590,one way in  no way out,2005.0,the music,on your way out,0,the windupdeads,0
328066,699612,12590,beat your heart out,2004.0,the distillers+brody dalle,on your way out,0,the windupdeads,0
328139,608283,12590,no way out,2011.0,the dts,on your way out,0,the windupdeads,0
328157,626124,12590,beat your heart out,2004.0,the distillers,on your way out,0,the windupdeads,0
328545,500763,12590,down on your luck,2009.0,the reveillons,on your way out,0,the windupdeads,0
329012,272093,12590,keep your eyes on the hands,1956.0,the top twenty,on your way out,0,the windupdeads,0
330606,171384,484262,story of a band,2012.0,todd nathanson,wing of a dove,0,todd wolfe band,0
338994,732054,152676,you,2004.0,walter donaldson+harold adamson,what's the matter with you,1988,walter horton,0
350868,136431,232128,to be still,1992.0,alela diane,to be still (album version),2009,alela diane,0
365050,615081,549190,release me,2004.0,robert yount+eddie miller+dub williams+kitty wells,release me,1956,kitty wells,0
371959,733106,620810,love really hurts without you,1988.0,billy ocean,everything's so different without you,2004,billy ocean,0
373377,726921,748987,as time goes by,2012.0,herman hupfeld+dooley wilson,as time goes by,1990,dooley wilson,0
374836,13445,212102,até pensei,2005.0,chico buarque+nana caymmi,até pensei,1968,chico buarque,0
382816,314477,240493,still,1978.0,lionel richie+the commodores,still,1979,commodores,0
390120,689508,108054,brainstorm interlude,1999.0,the verve,interlude 2,2001,silkk the shocker,0
390300,574812,532624,laulu nesteestä,1971.0,m.a. numminen,laulu nesteestä,1971,m.a. numminen,0
390301,574816,532624,laulu huonoista palkoista,1971.0,m.a. numminen+arja saijonmaa,laulu nesteestä,1971,m.a. numminen,0
392664,649818,890622,girl is on my mind,2008.0,the black keys,the last thing on my mind (mono) (1999 digital remaster),0,the seekers,0
400237,699655,957512,i got mine,2009.0,the black keys,i got laid on james joyce's grave,2000,black 47,0
407000,213944,46779,clumsy,2015.0,fergie,clumsy,2008,fergie,0
410535,714451,297181,shes on the zoom,1985.0,don henley+danny kortchmar,sawing on the strings,0,don reno,0
410674,483772,297181,moonlight on the range,1939.0,don swander+fred scott,sawing on the strings,0,don reno,0
413127,732366,274798,modern planet,1991.0,the killtoys,planet love,1991,the dylans,0
413318,193191,274798,first love,2009.0,the maccabees,planet love,1991,the dylans,0
413572,285111,274798,blind love,2002.0,the nighthawks,planet love,1991,the dylans,0
413625,554912,274798,buried love,2008.0,the manvils,planet love,1991,the dylans,0
413869,712725,274798,love slave,1986.0,the screaming sirens,planet love,1991,the dylans,0
413979,199022,274798,hounds of love,2008.0,the futureheads,planet love,1991,the dylans,0
414119,732530,274798,zombies of love,2010.0,the staggers,planet love,1991,the dylans,0
414211,619695,274798,original love,1982.0,the feelies,planet love,1991,the dylans,0
414217,359025,274798,circus of love,2011.0,the ringers,planet love,1991,the dylans,0
414222,229062,274798,disco love,2012.0,the saturdays,planet love,1991,the dylans,0
414655,449319,274798,love me,2010.0,the cramps,planet love,1991,the dylans,0
414681,718160,274798,lady love me,2013.0,the watson twins,planet love,1991,the dylans,0
414798,479043,274798,laugh  love  fuck,2009.0,the coup+boots riley,planet love,1991,the dylans,0
418499,726826,733866,push it,1998.0,hurby luv bug azor+ray davies+salt-n-pepa+arrangement with polygram film+tv music,push it,1988,salt-n-pepa,0
418501,220371,733866,push it,2014.0,salt-n-pepa,push it,1988,salt-n-pepa,0
418504,644175,733866,push it,2005.0,hurby luv bug azor+ray davies+salt-n-pepa,push it,1988,salt-n-pepa,0
440006,506361,405498,framed,1987.0,los lobos,framed,1987,los lobos,0
443530,377640,62874,meet ze monsta,1995.0,pj harvey,meet ze mostra,1995,pj harvey,0
449357,435930,231408,its all over now  baby blue,2007.0,bob dylan+falco,it's all over now_ baby blue,0,falco,0
450115,730959,119137,move like a wave,1994.0,terry reid,feels like (inhouse a cappella),0,todd terry -,0
457956,401753,452098,und wenns auch sünde war,1952.0,heino gaze+zarah leander,cuba cabana (excerpts): und wenn's auch sunde war,0,zarah leander,0
460925,725022,121494,sex on fire,2012.0,kings of leon,sex on fire,2008,kings of leon,0
461695,610462,733178,theme for shadow of a stranger,2013.0,,don't be a stranger,0,ronan o snodaigh,0
465046,160601,951759,1-2-3-4 (sumpin new),1996.0,coolio,1-2-3-4 (sumpin' new) (lp version),0,coolio,0
475003,476209,296908,available light,2014.0,willy porter,available light,0,willy porter,0
483578,1765,167346,in the closet,2005.0,michael jackson,wind in the willow (lp version),0,michael feinstein,0
484239,624715,167346,horse in the country,1991.0,michael timmins+cowboy junkies,wind in the willow (lp version),0,michael feinstein,0
488898,619695,938814,original love,1982.0,the feelies,love lifted me - original,0,the swan silvertones,0
489175,449319,938814,love me,2010.0,the cramps,love lifted me - original,0,the swan silvertones,0
489897,634745,580891,goodbye again,1973.0,,goodbye l.a.,2009,green river ordinance,0
489907,653476,580891,cruel world goodbye,2011.0,,goodbye l.a.,2009,green river ordinance,0
494381,84136,259310,la música è finita,2002.0,ornella vanoni,la musica e' finita,0,ornella vanoni,0
498701,709243,435318,smokehouse blues,2004.0,charlie luke,shelby county blues,0,charlie musselwhite,0
499294,313146,54448,saint valentine,2010.0,chris brown+spaceman,my funny valentine,2003,chris botti,0
509897,728643,292734,music for a found harmonium,2007.0,the penguin cafe orchestra,music for a found harmonium (live) (2001 digital remaster),0,penguin café orchestra,0
510830,727638,848486,method man,2007.0,method man,little big man,2006,little man tate,0
513406,476658,900324,oh me  oh my,2010.0,the 99s,catch me,2001,the shermans,0
513672,395149,900324,close to me,1999.0,the cure,catch me,2001,the shermans,0
513673,657537,900324,run to me,1980.0,the hues corporation,catch me,2001,the shermans,0
513879,691089,900324,the real me,2000.0,the who+pete townshend,catch me,2001,the shermans,0
514037,449319,900324,love me,2010.0,the cramps,catch me,2001,the shermans,0
514084,718160,900324,lady love me,2013.0,the watson twins,catch me,2001,the shermans,0
514104,719986,900324,somebody told me,2009.0,the killers,catch me,2001,the shermans,0
514232,339386,900324,all of me,2005.0,the holiday,catch me,2001,the shermans,0
514274,214978,900324,fall behind me,2001.0,the donnas,catch me,2001,the shermans,0
521666,44488,647246,a stroke of luck,1998.0,garbage,a stroke of luck,1995,garbage,0
532477,39649,787854,in the mouth of the fish,2002.0,ernst meinrath+airlock,in the mouth of the fish,2001,airlock,0
540050,531041,908078,o holy night,2009.0,,o holy night,0,bebe winans,0
540055,284280,908078,o holy night,2007.0,,o holy night,0,bebe winans,0
540540,333266,908078,silent night,2009.0,,o holy night,0,bebe winans,0
540965,728309,908078,night rose,2009.0,,o holy night,0,bebe winans,0
542271,512630,404921,nothing,2004.0,the fugs,nothing to do,1996,the queers,0
545089,347154,125296,secreil nicht,2000.0,mediaeval baebes,secreit nicht,2000,mediaeval baebes,0
545669,714206,138936,first impressions,1991.0,the checks,first blood,2005,the bluestation,0
545670,193191,138936,first love,2009.0,the maccabees,first blood,2005,the bluestation,0
546174,725183,290004,scared straight,2005.0,the long winters,straight up,2002,the hentchmen,0
546178,729759,290004,straight highway,2000.0,the v-roys,straight up,2002,the hentchmen,0
546363,587970,290004,burnin up,2009.0,the jonas brothers,straight up,2002,the hentchmen,0
546433,638182,290004,up,2009.0,the saturdays,straight up,2002,the hentchmen,0
546437,642051,290004,never giving up,1999.0,the bus boys,straight up,2002,the hentchmen,0
547492,334757,332438,good king wenceslas,1987.0,gonzo the great+cast,sun king,1989,the cult,0
553525,678064,118910,all things money,2011.0,angel,ordinary things,2001,angela johnson,0
554954,668978,932741,turn the beat around,1998.0,peter jackson+gerald jackson+vicki sue robinson,turn the beat around,1976,vicki sue robinson,0
554956,673032,932741,turn the beat around (love to hear percussion),2015.0,peter jackson jr.+gerald jackson+vicki sue robinson+arrangement with sony music licensing,turn the beat around,1976,vicki sue robinson,0
555018,245980,932741,turn the beat around,2016.0,vicki sue robinson,turn the beat around,1976,vicki sue robinson,0
558443,657041,334436,the end,1987.0,the doors,til the end of time,0,the gatlin brothers,0
558519,328221,334436,friday im in love / the end of the world,2007.0,the cure,til the end of time,0,the gatlin brothers,0
558550,103445,334436,ballad of a bitter end,2005.0,the poems,til the end of time,0,the gatlin brothers,0
558790,699593,334436,the legend of black thunder,2003.0,the hookers,til the end of time,0,the gatlin brothers,0
558929,628239,334436,ballad of the whale,1986.0,the yellowjackets,til the end of time,0,the gatlin brothers,0
559072,397266,334436,fear of the future,2000.0,the residents,til the end of time,0,the gatlin brothers,0
559077,5437,334436,come out of the shade,2008.0,the perishers,til the end of time,0,the gatlin brothers,0
559078,530011,334436,house of the rising sun,2016.0,the animals,til the end of time,0,the gatlin brothers,0
559169,152200,334436,come out of the shade,2006.0,the perishers,til the end of time,0,the gatlin brothers,0
559180,284534,334436,house of the rising sun,1999.0,the crowd,til the end of time,0,the gatlin brothers,0
559210,157422,334436,news of the world,2005.0,the jam,til the end of time,0,the gatlin brothers,0
559285,301066,334436,talk of the town,1964.0,the pretenders,til the end of time,0,the gatlin brothers,0
559370,309705,334436,part of the union,2013.0,the strawbs,til the end of time,0,the gatlin brothers,0
559387,574356,334436,march of the swivelheads,2015.0,the beat,til the end of time,0,the gatlin brothers,0
559530,721382,334436,house of the rising sun,2015.0,the animals,til the end of time,0,the gatlin brothers,0
561143,562813,334436,the power of fatherhood,2009.0,the giraffes,til the end of time,0,the gatlin brothers,0
563327,523634,52912,20 de abril,2006.0,celtas cortos+seguridad social,20 de abril,1991,celtas cortos,0
585047,678801,130481,no blood (juan wauters demo),2008.0,the beets,save blood (4-track demo),2006,the stills,0
589029,262353,732385,the pink panther theme/fever/big spender medley,2007.0,henry mancini  / eddie cooley+otis blackwell   / cy coleman+dorothy fields+melissa molinaro+anastacia+asia+chelsea+melissa r.,pink panther theme,1998,henry mancini,0
589031,670235,732385,the pink panther,2004.0,henry mancini+the london metropolitan orchestra,pink panther theme,1998,henry mancini,0
589032,678522,732385,the pink panther theme (paul oakenfold remix),2006.0,henry mancini,pink panther theme,1998,henry mancini,0
589033,678531,732385,the pink panther theme (malibu remix),2006.0,henry mancini,pink panther theme,1998,henry mancini,0
589034,681290,732385,the pink panther theme,1975.0,henry mancini,pink panther theme,1998,henry mancini,0
589035,688597,732385,the pink panther,2011.0,henry mancini,pink panther theme,1998,henry mancini,0
589036,729323,732385,the pink panther theme,1973.0,henry mancini,pink panther theme,1998,henry mancini,0
589038,616816,732385,the pink panther,2010.0,henry mancini+john dankworth+his orchestra,pink panther theme,1998,henry mancini,0
589039,388820,732385,the pink panther,2003.0,henry mancini+hollywood studio orchestra,pink panther theme,1998,henry mancini,0
590097,557586,549470,smells like teen spirit,1994.0,kurt cobain+krist novoselic+dave grohl+nirvana,smells like teen spirit,0,nirvana,0
590098,34760,549470,smells like teen spirit,2014.0,kurt cobain+dave grohl+krist novoselic+nirvana,smells like teen spirit,0,nirvana,0
590099,692248,549470,smells like teen spirit (live at reading 92),2005.0,kurt cobain+krist novoselic+dave grohl+nirvana,smells like teen spirit,0,nirvana,0
590102,733171,549470,smells like teen spirit,2009.0,kurt cobain+dave grohl+krist novoselic+nirvana,smells like teen spirit,0,nirvana,0
596796,694450,12565,new york city,2009.0,the demics,new years,2003,much the same,0
596821,690420,12565,new slang,2010.0,the shins,new years,2003,much the same,0
596874,632238,12565,new rose,2011.0,the damned,new years,2003,much the same,0
597127,722465,602736,there must be love,1974.0,the osmonds+andy williams,it must be love,2002,the blasters,0
597434,638075,602736,could it be im falling in love,2015.0,the spinners,it must be love,2002,the blasters,0
598857,45843,602736,love it all,2007.0,the kooks,it must be love,2002,the blasters,0
599215,703713,942869,alone in the dark,1994.0,john hiatt,a kiss in the park,0,john debney,0
599333,727848,942869,the worlds a mess  its in my kiss,2005.0,john doe+exene cervenka+x.,a kiss in the park,0,john debney,0
599334,727884,942869,the worlds a mess; its in my kiss,1986.0,john doe+exene cervenka+x.,a kiss in the park,0,john debney,0
599577,202866,942869,a day in the life,1975.0,john lennon+paul mccartney,a kiss in the park,0,john debney,0
599647,676747,942869,reflections in the water,1933.0,john jacob loeb,a kiss in the park,0,john debney,0
599770,257661,942869,love is in the air ,2012.0,john paul young,a kiss in the park,0,john debney,0
600233,669969,942869,in the eyes of god,1972.0,john bennings+lloyd price,a kiss in the park,0,john debney,0
600253,671986,942869,susan in the summer,2004.0,john sbarra,a kiss in the park,0,john debney,0
600316,678653,942869,standing in the rain,1991.0,john gregory+brad hanratty+mirage,a kiss in the park,0,john debney,0
600375,686294,942869,something in the air,1970.0,john keen,a kiss in the park,0,john debney,0
600509,698134,942869,in the city,2010.0,john padgett+chromatics,a kiss in the park,0,john debney,0
600789,67555,942869,in between the words,1992.0,john schneider,a kiss in the park,0,john debney,0
609167,729671,278846,happy,2005.0,the wrens,be young_ be foolish_ be happy,0,the tams,0
609172,624176,278846,be young be foolish be happy,2010.0,the tams,be young_ be foolish_ be happy,0,the tams,0
612580,536857,407032,the thunderer,2008.0,john philip sousa+the us coast guard band,the thunderer,0,us coast guard band,0
620844,645625,777745,insect royalty,1998.0,primal scream,insect royalty,1999,primal scream,0
625177,609562,85406,rare  precious and gone,1999.0,mike scott,leavin' and gone,0,michael scott,0
627707,676564,909370,kickin the gong around,1936.0,harold arlen+cab calloway  caricature+orchestra,kicking the gong around,1996,cab calloway,0
630778,703232,335810,cant hold me down,1997.0,doug kane+ernie berru+jeff graham+dean wilson+sean romin+schlep rock,rain down on me,2001,kane,0
631636,360909,218228,freedom is a voice,2006.0,bobby mcferrin+russell ferrante,freedom is a voice,1996,bobby mcferrin,0
632843,662998,139585,torna a surriento,1951.0,mario lanza+ernesto de curtis,torna a surriento (serenade),0,mario lanza,0
633158,602041,384965,eternal flame,1990.0,the bangles,the flame,0,the jade,0
634073,691089,384965,the real me,2000.0,the who+pete townshend,the flame,0,the jade,0
634595,657041,384965,the end,1987.0,the doors,the flame,0,the jade,0
634644,136048,384965,the weekenders,1993.0,the hold steady,the flame,0,the jade,0
634745,601465,384965,the trick,2005.0,the prodigy,the flame,0,the jade,0
634988,25269,384965,the damned,1993.0,the plasmatics,the flame,0,the jade,0
635016,550810,384965,the wind blows,2009.0,the all-american rejects,the flame,0,the jade,0
635035,420909,384965,the bikini machine,1965.0,the supremes,the flame,0,the jade,0
635399,700968,384965,the shimmy,2010.0,the upsetters,the flame,0,the jade,0
635507,312960,384965,the zoo blues,1988.0,the manhattan transfer,the flame,0,the jade,0
635826,720811,384965,the captain,2014.0,the phoenix foundation,the flame,0,the jade,0
635884,722495,384965,the big loop,1993.0,the horseflies,the flame,0,the jade,0
635952,724758,384965,the lonely matress,1999.0,the phantom surfers,the flame,0,the jade,0
635960,725001,384965,the weatherman (pt.2),2014.0,alert the medic,the flame,0,the jade,0
635985,725617,384965,the bug,2008.0,the cool raiders,the flame,0,the jade,0
636108,335718,384965,the sandman,2012.0,the chemical brothers,the flame,0,the jade,0
636125,729535,384965,the hockey song,2016.0,the glam skanks,the flame,0,the jade,0
636162,206000,384965,the wild rover,1987.0,the dubliners,the flame,0,the jade,0
636254,601375,384965,the apothecary,2010.0,enter the haggis,the flame,0,the jade,0
636285,471737,384965,the rain,2009.0,the bloody hollies,the flame,0,the jade,0
636327,344334,384965,the irony,2011.0,the malpractice,the flame,0,the jade,0
636433,614940,384965,the icicle melts,2002.0,the cranberries,the flame,0,the jade,0
636517,98053,384965,the sunshine underground,2015.0,the chemical brothers,the flame,0,the jade,0
636598,106290,384965,the great pretender,1974.0,the prom band,the flame,0,the jade,0
