_id,ltable_id,rtable_id,ltable_song_title,ltable_year,ltable_artists,rtable_song_title,rtable_year,rtable_artists
350868,136431,232128,to be still,1992.0,alela diane,to be still (album version),2009,alela diane
365050,615081,549190,release me,2004.0,robert yount+eddie miller+dub williams+kitty wells,release me,1956,kitty wells
371959,733106,620810,love really hurts without you,1988.0,billy ocean,everything's so different without you,2004,billy ocean
373377,726921,748987,as time goes by,2012.0,herman hupfeld+dooley wilson,as time goes by,1990,dooley wilson
374836,13445,212102,at� pensei,2005.0,chico buarque+nana caymmi,at� pensei,1968,chico buarque
382816,314477,240493,still,1978.0,lionel richie+the commodores,still,1979,commodores
390120,689508,108054,brainstorm interlude,1999.0,the verve,interlude 2,2001,silkk the shocker
390300,574812,532624,laulu nesteest�,1971.0,m.a. numminen,laulu nesteest�,1971,m.a. numminen
390301,574816,532624,laulu huonoista palkoista,1971.0,m.a. numminen+arja saijonmaa,laulu nesteest�,1971,m.a. numminen
392664,649818,890622,girl is on my mind,2008.0,the black keys,the last thing on my mind (mono) (1999 digital remaster),0,the seekers
400237,699655,957512,i got mine,2009.0,the black keys,i got laid on james joyce's grave,2000,black 47
407000,213944,46779,clumsy,2015.0,fergie,clumsy,2008,fergie
410535,714451,297181,shes on the zoom,1985.0,don henley+danny kortchmar,sawing on the strings,0,don reno
410674,483772,297181,moonlight on the range,1939.0,don swander+fred scott,sawing on the strings,0,don reno
413127,732366,274798,modern planet,1991.0,the killtoys,planet love,1991,the dylans
413318,193191,274798,first love,2009.0,the maccabees,planet love,1991,the dylans
413572,285111,274798,blind love,2002.0,the nighthawks,planet love,1991,the dylans
413625,554912,274798,buried love,2008.0,the manvils,planet love,1991,the dylans
413869,712725,274798,love slave,1986.0,the screaming sirens,planet love,1991,the dylans
413979,199022,274798,hounds of love,2008.0,the futureheads,planet love,1991,the dylans
414119,732530,274798,zombies of love,2010.0,the staggers,planet love,1991,the dylans
414211,619695,274798,original love,1982.0,the feelies,planet love,1991,the dylans
414217,359025,274798,circus of love,2011.0,the ringers,planet love,1991,the dylans
414222,229062,274798,disco love,2012.0,the saturdays,planet love,1991,the dylans
414655,449319,274798,love me,2010.0,the cramps,planet love,1991,the dylans
414681,718160,274798,lady love me,2013.0,the watson twins,planet love,1991,the dylans
414798,479043,274798,laugh  love  fuck,2009.0,the coup+boots riley,planet love,1991,the dylans
418499,726826,733866,push it,1998.0,hurby luv bug azor+ray davies+salt-n-pepa+arrangement with polygram film+tv music,push it,1988,salt-n-pepa
418501,220371,733866,push it,2014.0,salt-n-pepa,push it,1988,salt-n-pepa
418504,644175,733866,push it,2005.0,hurby luv bug azor+ray davies+salt-n-pepa,push it,1988,salt-n-pepa
440006,506361,405498,framed,1987.0,los lobos,framed,1987,los lobos
443530,377640,62874,meet ze monsta,1995.0,pj harvey,meet ze mostra,1995,pj harvey
449357,435930,231408,its all over now  baby blue,2007.0,bob dylan+falco,it's all over now_ baby blue,0,falco
450115,730959,119137,move like a wave,1994.0,terry reid,feels like (inhouse a cappella),0,todd terry -
457956,401753,452098,und wenns auch s�nde war,1952.0,heino gaze+zarah leander,cuba cabana (excerpts): und wenn's auch sunde war,0,zarah leander
460925,725022,121494,sex on fire,2012.0,kings of leon,sex on fire,2008,kings of leon
461695,610462,733178,theme for shadow of a stranger,2013.0,,don't be a stranger,0,ronan o snodaigh
465046,160601,951759,1-2-3-4 (sumpin new),1996.0,coolio,1-2-3-4 (sumpin' new) (lp version),0,coolio
475003,476209,296908,available light,2014.0,willy porter,available light,0,willy porter
483578,1765,167346,in the closet,2005.0,michael jackson,wind in the willow (lp version),0,michael feinstein
484239,624715,167346,horse in the country,1991.0,michael timmins+cowboy junkies,wind in the willow (lp version),0,michael feinstein
488898,619695,938814,original love,1982.0,the feelies,love lifted me - original,0,the swan silvertones
489175,449319,938814,love me,2010.0,the cramps,love lifted me - original,0,the swan silvertones
489897,634745,580891,goodbye again,1973.0,,goodbye l.a.,2009,green river ordinance
489907,653476,580891,cruel world goodbye,2011.0,,goodbye l.a.,2009,green river ordinance
494381,84136,259310,la m�sica � finita,2002.0,ornella vanoni,la musica e' finita,0,ornella vanoni
498701,709243,435318,smokehouse blues,2004.0,charlie luke,shelby county blues,0,charlie musselwhite
499294,313146,54448,saint valentine,2010.0,chris brown+spaceman,my funny valentine,2003,chris botti
509897,728643,292734,music for a found harmonium,2007.0,the penguin cafe orchestra,music for a found harmonium (live) (2001 digital remaster),0,penguin caf� orchestra
510830,727638,848486,method man,2007.0,method man,little big man,2006,little man tate
513406,476658,900324,oh me  oh my,2010.0,the 99s,catch me,2001,the shermans
513672,395149,900324,close to me,1999.0,the cure,catch me,2001,the shermans
513673,657537,900324,run to me,1980.0,the hues corporation,catch me,2001,the shermans
513879,691089,900324,the real me,2000.0,the who+pete townshend,catch me,2001,the shermans
514037,449319,900324,love me,2010.0,the cramps,catch me,2001,the shermans
514084,718160,900324,lady love me,2013.0,the watson twins,catch me,2001,the shermans
514104,719986,900324,somebody told me,2009.0,the killers,catch me,2001,the shermans
514232,339386,900324,all of me,2005.0,the holiday,catch me,2001,the shermans
514274,214978,900324,fall behind me,2001.0,the donnas,catch me,2001,the shermans
521666,44488,647246,a stroke of luck,1998.0,garbage,a stroke of luck,1995,garbage
532477,39649,787854,in the mouth of the fish,2002.0,ernst meinrath+airlock,in the mouth of the fish,2001,airlock
540050,531041,908078,o holy night,2009.0,,o holy night,0,bebe winans
540055,284280,908078,o holy night,2007.0,,o holy night,0,bebe winans
540540,333266,908078,silent night,2009.0,,o holy night,0,bebe winans
540965,728309,908078,night rose,2009.0,,o holy night,0,bebe winans
542271,512630,404921,nothing,2004.0,the fugs,nothing to do,1996,the queers
545089,347154,125296,secreil nicht,2000.0,mediaeval baebes,secreit nicht,2000,mediaeval baebes
545669,714206,138936,first impressions,1991.0,the checks,first blood,2005,the bluestation
545670,193191,138936,first love,2009.0,the maccabees,first blood,2005,the bluestation
546174,725183,290004,scared straight,2005.0,the long winters,straight up,2002,the hentchmen
546178,729759,290004,straight highway,2000.0,the v-roys,straight up,2002,the hentchmen
546363,587970,290004,burnin up,2009.0,the jonas brothers,straight up,2002,the hentchmen
546433,638182,290004,up,2009.0,the saturdays,straight up,2002,the hentchmen
546437,642051,290004,never giving up,1999.0,the bus boys,straight up,2002,the hentchmen
547492,334757,332438,good king wenceslas,1987.0,gonzo the great+cast,sun king,1989,the cult
553525,678064,118910,all things money,2011.0,angel,ordinary things,2001,angela johnson
554954,668978,932741,turn the beat around,1998.0,peter jackson+gerald jackson+vicki sue robinson,turn the beat around,1976,vicki sue robinson
554956,673032,932741,turn the beat around (love to hear percussion),2015.0,peter jackson jr.+gerald jackson+vicki sue robinson+arrangement with sony music licensing,turn the beat around,1976,vicki sue robinson
555018,245980,932741,turn the beat around,2016.0,vicki sue robinson,turn the beat around,1976,vicki sue robinson
558443,657041,334436,the end,1987.0,the doors,til the end of time,0,the gatlin brothers
558519,328221,334436,friday im in love / the end of the world,2007.0,the cure,til the end of time,0,the gatlin brothers
558550,103445,334436,ballad of a bitter end,2005.0,the poems,til the end of time,0,the gatlin brothers
558790,699593,334436,the legend of black thunder,2003.0,the hookers,til the end of time,0,the gatlin brothers
558929,628239,334436,ballad of the whale,1986.0,the yellowjackets,til the end of time,0,the gatlin brothers
559072,397266,334436,fear of the future,2000.0,the residents,til the end of time,0,the gatlin brothers
559077,5437,334436,come out of the shade,2008.0,the perishers,til the end of time,0,the gatlin brothers
559078,530011,334436,house of the rising sun,2016.0,the animals,til the end of time,0,the gatlin brothers
559169,152200,334436,come out of the shade,2006.0,the perishers,til the end of time,0,the gatlin brothers
559180,284534,334436,house of the rising sun,1999.0,the crowd,til the end of time,0,the gatlin brothers
559210,157422,334436,news of the world,2005.0,the jam,til the end of time,0,the gatlin brothers
559285,301066,334436,talk of the town,1964.0,the pretenders,til the end of time,0,the gatlin brothers
559370,309705,334436,part of the union,2013.0,the strawbs,til the end of time,0,the gatlin brothers
559387,574356,334436,march of the swivelheads,2015.0,the beat,til the end of time,0,the gatlin brothers
559530,721382,334436,house of the rising sun,2015.0,the animals,til the end of time,0,the gatlin brothers
561143,562813,334436,the power of fatherhood,2009.0,the giraffes,til the end of time,0,the gatlin brothers
563327,523634,52912,20 de abril,2006.0,celtas cortos+seguridad social,20 de abril,1991,celtas cortos
585047,678801,130481,no blood (juan wauters demo),2008.0,the beets,save blood (4-track demo),2006,the stills
589029,262353,732385,the pink panther theme/fever/big spender medley,2007.0,henry mancini  / eddie cooley+otis blackwell   / cy coleman+dorothy fields+melissa molinaro+anastacia+asia+chelsea+melissa r.,pink panther theme,1998,henry mancini
589031,670235,732385,the pink panther,2004.0,henry mancini+the london metropolitan orchestra,pink panther theme,1998,henry mancini
589032,678522,732385,the pink panther theme (paul oakenfold remix),2006.0,henry mancini,pink panther theme,1998,henry mancini
589033,678531,732385,the pink panther theme (malibu remix),2006.0,henry mancini,pink panther theme,1998,henry mancini
589034,681290,732385,the pink panther theme,1975.0,henry mancini,pink panther theme,1998,henry mancini
589035,688597,732385,the pink panther,2011.0,henry mancini,pink panther theme,1998,henry mancini
589036,729323,732385,the pink panther theme,1973.0,henry mancini,pink panther theme,1998,henry mancini
589038,616816,732385,the pink panther,2010.0,henry mancini+john dankworth+his orchestra,pink panther theme,1998,henry mancini
589039,388820,732385,the pink panther,2003.0,henry mancini+hollywood studio orchestra,pink panther theme,1998,henry mancini
590097,557586,549470,smells like teen spirit,1994.0,kurt cobain+krist novoselic+dave grohl+nirvana,smells like teen spirit,0,nirvana
590098,34760,549470,smells like teen spirit,2014.0,kurt cobain+dave grohl+krist novoselic+nirvana,smells like teen spirit,0,nirvana
590099,692248,549470,smells like teen spirit (live at reading 92),2005.0,kurt cobain+krist novoselic+dave grohl+nirvana,smells like teen spirit,0,nirvana
590102,733171,549470,smells like teen spirit,2009.0,kurt cobain+dave grohl+krist novoselic+nirvana,smells like teen spirit,0,nirvana
596796,694450,12565,new york city,2009.0,the demics,new years,2003,much the same
596821,690420,12565,new slang,2010.0,the shins,new years,2003,much the same
596874,632238,12565,new rose,2011.0,the damned,new years,2003,much the same
597127,722465,602736,there must be love,1974.0,the osmonds+andy williams,it must be love,2002,the blasters
597434,638075,602736,could it be im falling in love,2015.0,the spinners,it must be love,2002,the blasters
598857,45843,602736,love it all,2007.0,the kooks,it must be love,2002,the blasters
599215,703713,942869,alone in the dark,1994.0,john hiatt,a kiss in the park,0,john debney
599333,727848,942869,the worlds a mess  its in my kiss,2005.0,john doe+exene cervenka+x.,a kiss in the park,0,john debney
599334,727884,942869,the worlds a mess; its in my kiss,1986.0,john doe+exene cervenka+x.,a kiss in the park,0,john debney
599577,202866,942869,a day in the life,1975.0,john lennon+paul mccartney,a kiss in the park,0,john debney
599647,676747,942869,reflections in the water,1933.0,john jacob loeb,a kiss in the park,0,john debney
599770,257661,942869,love is in the air ,2012.0,john paul young,a kiss in the park,0,john debney
600233,669969,942869,in the eyes of god,1972.0,john bennings+lloyd price,a kiss in the park,0,john debney
600253,671986,942869,susan in the summer,2004.0,john sbarra,a kiss in the park,0,john debney
600316,678653,942869,standing in the rain,1991.0,john gregory+brad hanratty+mirage,a kiss in the park,0,john debney
600375,686294,942869,something in the air,1970.0,john keen,a kiss in the park,0,john debney
600509,698134,942869,in the city,2010.0,john padgett+chromatics,a kiss in the park,0,john debney
600789,67555,942869,in between the words,1992.0,john schneider,a kiss in the park,0,john debney
609167,729671,278846,happy,2005.0,the wrens,be young_ be foolish_ be happy,0,the tams
609172,624176,278846,be young be foolish be happy,2010.0,the tams,be young_ be foolish_ be happy,0,the tams
612580,536857,407032,the thunderer,2008.0,john philip sousa+the us coast guard band,the thunderer,0,us coast guard band
620844,645625,777745,insect royalty,1998.0,primal scream,insect royalty,1999,primal scream
625177,609562,85406,rare  precious and gone,1999.0,mike scott,leavin' and gone,0,michael scott
627707,676564,909370,kickin the gong around,1936.0,harold arlen+cab calloway  caricature+orchestra,kicking the gong around,1996,cab calloway
630778,703232,335810,cant hold me down,1997.0,doug kane+ernie berru+jeff graham+dean wilson+sean romin+schlep rock,rain down on me,2001,kane
631636,360909,218228,freedom is a voice,2006.0,bobby mcferrin+russell ferrante,freedom is a voice,1996,bobby mcferrin
632843,662998,139585,torna a surriento,1951.0,mario lanza+ernesto de curtis,torna a surriento (serenade),0,mario lanza
633158,602041,384965,eternal flame,1990.0,the bangles,the flame,0,the jade
634073,691089,384965,the real me,2000.0,the who+pete townshend,the flame,0,the jade
634595,657041,384965,the end,1987.0,the doors,the flame,0,the jade
634644,136048,384965,the weekenders,1993.0,the hold steady,the flame,0,the jade
634745,601465,384965,the trick,2005.0,the prodigy,the flame,0,the jade
634988,25269,384965,the damned,1993.0,the plasmatics,the flame,0,the jade
635016,550810,384965,the wind blows,2009.0,the all-american rejects,the flame,0,the jade
635035,420909,384965,the bikini machine,1965.0,the supremes,the flame,0,the jade
635399,700968,384965,the shimmy,2010.0,the upsetters,the flame,0,the jade
635507,312960,384965,the zoo blues,1988.0,the manhattan transfer,the flame,0,the jade
635826,720811,384965,the captain,2014.0,the phoenix foundation,the flame,0,the jade
635884,722495,384965,the big loop,1993.0,the horseflies,the flame,0,the jade
635952,724758,384965,the lonely matress,1999.0,the phantom surfers,the flame,0,the jade
635960,725001,384965,the weatherman (pt.2),2014.0,alert the medic,the flame,0,the jade
635985,725617,384965,the bug,2008.0,the cool raiders,the flame,0,the jade
636108,335718,384965,the sandman,2012.0,the chemical brothers,the flame,0,the jade
636125,729535,384965,the hockey song,2016.0,the glam skanks,the flame,0,the jade
636162,206000,384965,the wild rover,1987.0,the dubliners,the flame,0,the jade
636254,601375,384965,the apothecary,2010.0,enter the haggis,the flame,0,the jade
636285,471737,384965,the rain,2009.0,the bloody hollies,the flame,0,the jade
636327,344334,384965,the irony,2011.0,the malpractice,the flame,0,the jade
636433,614940,384965,the icicle melts,2002.0,the cranberries,the flame,0,the jade
636517,98053,384965,the sunshine underground,2015.0,the chemical brothers,the flame,0,the jade
636598,106290,384965,the great pretender,1974.0,the prom band,the flame,0,the jade
636664,244776,384965,the odds,2013.0,the cabin project,the flame,0,the jade
636823,519855,384965,the cow song,2005.0,the mountain goats,the flame,0,the jade
636830,651420,384965,the taffy bag,2011.0,the high toppers,the flame,0,the jade
636840,258578,384965,the outer banks,2003.0,the album leaf,the flame,0,the jade
637161,694035,384965,over the edge,2001.0,the wipers+greg sage,the flame,0,the jade
637255,723723,384965,builds the bone,2005.0,the hidden cameras,the flame,0,the jade
637267,725583,384965,under the influence,1999.0,the chemical brothers,the flame,0,the jade
637269,725810,384965,recapturing the vibe,2012.0,the hilltop hoods,the flame,0,the jade
637381,520927,384965,feel the pressure,2005.0,the charlatans,the flame,0,the jade
637392,649477,1716,maple leaf rag,2011.0,scott joplin+the new orleans feetwarmers,maple leaf rag,0,the new orleans ragtime orchestra
646562,280335,182116,whiskey  youre the devil (live),1982.0,the pogues,beat the devil,1988,the krewmen
646593,457549,182116,lexicon devil,2013.0,the germs+darby crash,beat the devil,1988,the krewmen
646677,657008,182116,texas radio and the big beat,1985.0,the doors,beat the devil,1988,the krewmen
646728,302189,182116,every beat of the heart,1964.0,the railway children,beat the devil,1988,the krewmen
647523,25269,182116,the damned,1993.0,the plasmatics,beat the devil,1988,the krewmen
